#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 2 (=DEEPSEA)
# Vessel types: 5,6
# Vessel count: 7,6
# Number of cargoes: 35
# Cargo sizes: 4
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 2 (out of 5)
#----------------------------------------------------------------

# number of ports
86
# number of vessels
13
# for each vessel: vessel index, home port, starting time, capacity
1,13,94,100
2,78,515,100
3,73,0,100
4,41,12,100
5,33,0,100
6,45,206,100
7,41,498,100
8,30,0,100
9,24,205,100
10,62,0,100
11,58,0,100
12,72,0,100
13,62,0,100
# number of cargoes
35
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,3,4,7,8,9,10,11,12,13,15,18,19,20,22,26,28,30,31,32,33,34,35
2,1,2,3,7,8,9,11,13,18,19,20,22,26,28,30,31,32,33,34
3,1,2,3,4,6,7,8,9,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35
4,1,2,3,4,5,6,7,8,9,11,12,13,14,17,18,19,20,22,24,26,28,29,30,31,32,33,34
5,1,2,3,4,7,8,9,10,11,12,13,14,15,17,18,19,20,22,26,28,29,30,31,32,33,34,35
6,1,2,3,4,6,7,8,9,11,12,13,18,19,20,22,26,28,29,30,31,32,33,34
7,1,2,3,7,8,9,11,12,18,19,20,22,26,28,30,31,32,33,34
8,1,2,3,4,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,26,28,30,31,32,33,34,35
9,1,2,3,7,8,9,11,15,18,19,20,22,26,28,30,31,32,33,34,35
10,1,2,3,4,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,26,28,29,30,31,32,33,34,35
11,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,22,23,24,25,26,28,29,30,31,32,33,34
12,1,2,3,4,6,7,8,9,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34
13,1,2,3,4,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,26,28,29,30,31,32,33,34,35
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,72,54,100,6542020,1170,1338,1170,1744
2,42,86,100,9408951,1022,1190,1022,1725
3,76,34,100,8642725,658,826,658,1472
4,76,41,100,4566222,279,447,279,850
5,48,68,100,11236297,0,168,0,880
6,41,7,100,12160712,112,280,112,966
7,74,54,100,4490550,1335,1503,1335,2029
8,84,60,100,8435921,1266,1434,1266,1970
9,72,47,100,8412182,777,945,777,1454
10,64,77,100,8793975,0,168,0,794
11,78,57,100,6797213,628,796,628,1289
12,46,71,100,11127195,492,660,492,1301
13,78,37,100,11268429,355,523,355,1200
14,78,39,100,9904853,246,414,246,1049
15,25,57,100,8381836,234,402,234,1086
16,72,50,100,5164946,0,168,0,651
17,77,48,100,4973018,238,406,238,830
18,56,35,100,9442326,2140,2308,2140,2954
19,72,48,100,5806243,560,728,560,1104
20,72,51,100,6049182,819,987,819,1428
21,7,79,100,9094203,0,168,0,783
22,76,9,100,10111384,1396,1564,1396,2231
23,72,55,100,5631906,0,168,0,590
24,77,58,100,9375859,142,310,142,767
25,74,53,100,7466377,46,214,46,700
26,35,25,100,11763396,952,1120,952,1597
27,79,40,100,7489902,0,168,0,619
28,79,45,100,6108530,728,896,728,1335
29,46,75,100,13109956,288,456,288,980
30,78,40,100,9449696,711,879,711,1368
31,3,34,100,6307412,1117,1285,1117,1814
32,78,49,100,7268063,1077,1245,1077,1660
33,31,56,100,7504191,2040,2208,2040,2779
34,77,32,100,7715030,658,826,658,1387
35,20,79,100,6874916,214,382,214,1044
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
7,1,1,0,0
8,1,1,0,0
9,1,1,0,0
10,1,1,0,0
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
1,1,2,56,275581
2,1,2,56,275581
3,1,2,56,275581
4,1,2,56,275581
5,1,2,56,275581
6,1,2,56,275581
7,1,2,56,275581
8,1,2,55,338963
9,1,2,55,338963
10,1,2,55,338963
11,1,2,55,338963
12,1,2,55,338963
13,1,2,55,338963
1,1,3,291,1431061
2,1,3,291,1431061
3,1,3,291,1431061
4,1,3,291,1431061
5,1,3,291,1431061
6,1,3,291,1431061
7,1,3,291,1431061
8,1,3,287,1762565
9,1,3,287,1762565
10,1,3,287,1762565
11,1,3,287,1762565
12,1,3,287,1762565
13,1,3,287,1762565
1,1,4,271,1334453
2,1,4,271,1334453
3,1,4,271,1334453
4,1,4,271,1334453
5,1,4,271,1334453
6,1,4,271,1334453
7,1,4,271,1334453
8,1,4,267,1643737
9,1,4,267,1643737
10,1,4,267,1643737
11,1,4,267,1643737
12,1,4,267,1643737
13,1,4,267,1643737
1,1,5,300,1475895
2,1,5,300,1475895
3,1,5,300,1475895
4,1,5,300,1475895
5,1,5,300,1475895
6,1,5,300,1475895
7,1,5,300,1475895
8,1,5,296,1817710
9,1,5,296,1817710
10,1,5,296,1817710
11,1,5,296,1817710
12,1,5,296,1817710
13,1,5,296,1817710
1,1,6,288,1414144
2,1,6,288,1414144
3,1,6,288,1414144
4,1,6,288,1414144
5,1,6,288,1414144
6,1,6,288,1414144
7,1,6,288,1414144
8,1,6,283,1741756
9,1,6,283,1741756
10,1,6,283,1741756
11,1,6,283,1741756
12,1,6,283,1741756
13,1,6,283,1741756
1,1,7,298,1463042
2,1,7,298,1463042
3,1,7,298,1463042
4,1,7,298,1463042
5,1,7,298,1463042
6,1,7,298,1463042
7,1,7,298,1463042
8,1,7,293,1801900
9,1,7,293,1801900
10,1,7,293,1801900
11,1,7,293,1801900
12,1,7,293,1801900
13,1,7,293,1801900
1,1,8,316,1551217
2,1,8,316,1551217
3,1,8,316,1551217
4,1,8,316,1551217
5,1,8,316,1551217
6,1,8,316,1551217
7,1,8,316,1551217
8,1,8,311,1910357
9,1,8,311,1910357
10,1,8,311,1910357
11,1,8,311,1910357
12,1,8,311,1910357
13,1,8,311,1910357
1,1,9,302,1483954
2,1,9,302,1483954
3,1,9,302,1483954
4,1,9,302,1483954
5,1,9,302,1483954
6,1,9,302,1483954
7,1,9,302,1483954
8,1,9,297,1827622
9,1,9,297,1827622
10,1,9,297,1827622
11,1,9,297,1827622
12,1,9,297,1827622
13,1,9,297,1827622
1,1,10,309,1519820
2,1,10,309,1519820
3,1,10,309,1519820
4,1,10,309,1519820
5,1,10,309,1519820
6,1,10,309,1519820
7,1,10,309,1519820
8,1,10,305,1871737
9,1,10,305,1871737
10,1,10,305,1871737
11,1,10,305,1871737
12,1,10,305,1871737
13,1,10,305,1871737
1,1,11,318,1564063
2,1,11,318,1564063
3,1,11,318,1564063
4,1,11,318,1564063
5,1,11,318,1564063
6,1,11,318,1564063
7,1,11,318,1564063
8,1,11,313,1926157
9,1,11,313,1926157
10,1,11,313,1926157
11,1,11,313,1926157
12,1,11,313,1926157
13,1,11,313,1926157
1,1,12,275,1353837
2,1,12,275,1353837
3,1,12,275,1353837
4,1,12,275,1353837
5,1,12,275,1353837
6,1,12,275,1353837
7,1,12,275,1353837
8,1,12,271,1667580
9,1,12,271,1667580
10,1,12,271,1667580
11,1,12,271,1667580
12,1,12,271,1667580
13,1,12,271,1667580
1,1,13,265,1303075
2,1,13,265,1303075
3,1,13,265,1303075
4,1,13,265,1303075
5,1,13,265,1303075
6,1,13,265,1303075
7,1,13,265,1303075
8,1,13,261,1605141
9,1,13,261,1605141
10,1,13,261,1605141
11,1,13,261,1605141
12,1,13,261,1605141
13,1,13,261,1605141
1,1,14,249,1223648
2,1,14,249,1223648
3,1,14,249,1223648
4,1,14,249,1223648
5,1,14,249,1223648
6,1,14,249,1223648
7,1,14,249,1223648
8,1,14,245,1507447
9,1,14,245,1507447
10,1,14,245,1507447
11,1,14,245,1507447
12,1,14,245,1507447
13,1,14,245,1507447
1,1,15,288,1416664
2,1,15,288,1416664
3,1,15,288,1416664
4,1,15,288,1416664
5,1,15,288,1416664
6,1,15,288,1416664
7,1,15,288,1416664
8,1,15,284,1744855
9,1,15,284,1744855
10,1,15,284,1744855
11,1,15,284,1744855
12,1,15,284,1744855
13,1,15,284,1744855
1,1,16,308,1515101
2,1,16,308,1515101
3,1,16,308,1515101
4,1,16,308,1515101
