#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 2 (=DEEPSEA)
# Vessel types: 1,2
# Vessel count: 2,2
# Number of cargoes: 15
# Cargo sizes: 2
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 5 (out of 5)
#----------------------------------------------------------------

# number of ports
86
# number of vessels
4
# for each vessel: vessel index, home port, starting time, capacity
1,13,0,46882
2,78,0,46882
3,73,0,56800
4,41,11,56800
# number of cargoes
15
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,3,4,5,8,9,10,11,12,14,15
2,1,2,3,4,5,7,8,9,10,11,12,13,14,15
3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,1,2,3,4,5,8,9,10,11,12,14,15
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,78,47,38978,3163564,4344,4512,4344,5090
2,56,82,29437,2725770,1892,2060,1892,2935
3,81,57,15241,2067340,2480,2648,2480,3164
4,74,85,27784,2719644,529,697,529,2073
5,78,58,33410,1876275,1555,1723,1555,2232
6,76,42,49410,2844531,140,308,140,2126
7,76,4,46175,2598702,68,236,68,1091
8,76,50,21820,3112833,568,736,568,1368
9,15,39,15978,2216537,2232,2400,2232,2980
10,47,26,41315,3665260,3483,3651,3483,5470
11,19,56,18927,3081957,990,1158,990,2206
12,74,58,11482,1884592,408,576,408,1255
13,80,49,28060,1662895,78,246,78,816
14,71,38,24490,2053485,4555,4723,4555,5143
15,77,42,25758,2003887,2341,2509,2341,3242
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
1,1,2,102,78241
2,1,2,102,78241
3,1,2,95,105572
4,1,2,95,105572
1,1,3,511,391178
2,1,3,511,391178
3,1,3,477,529666
4,1,3,477,529666
1,1,4,475,363750
2,1,4,475,363750
3,1,4,444,492656
4,1,4,444,492656
1,1,5,527,403907
2,1,5,527,403907
3,1,5,493,546841
4,1,5,493,546841
1,1,6,504,386375
2,1,6,504,386375
3,1,6,471,523185
4,1,6,471,523185
1,1,7,523,400258
2,1,7,523,400258
3,1,7,488,541917
4,1,7,488,541917
1,1,8,555,425292
2,1,8,555,425292
3,1,8,519,575696
4,1,8,519,575696
1,1,9,530,406195
2,1,9,530,406195
3,1,9,495,549928
4,1,9,495,549928
1,1,10,544,416378
2,1,10,544,416378
3,1,10,508,563668
4,1,10,508,563668
1,1,11,560,428939
2,1,11,560,428939
3,1,11,523,580617
4,1,11,523,580617
1,1,12,482,369254
2,1,12,482,369254
3,1,12,450,500082
4,1,12,450,500082
1,1,13,463,354842
2,1,13,463,354842
3,1,13,433,480635
4,1,13,433,480635
1,1,14,434,332291
2,1,14,434,332291
3,1,14,406,450207
4,1,14,406,450207
1,1,15,505,387090
2,1,15,505,387090
3,1,15,472,524150
4,1,15,472,524150
1,1,16,542,415038
2,1,16,542,415038
3,1,16,506,561861
4,1,16,506,561861
1,1,17,578,442788
2,1,17,578,442788
3,1,17,540,599304
4,1,17,540,599304
1,1,18,482,369350
2,1,18,482,369350
3,1,18,451,500212
4,1,18,451,500212
1,1,19,544,416378
2,1,19,544,416378
3,1,19,508,563668
4,1,19,508,563668
1,1,20,512,392072
2,1,20,512,392072
3,1,20,478,530872
4,1,20,478,530872
1,1,21,472,361474
2,1,21,472,361474
3,1,21,441,489585
4,1,21,441,489585
1,1,22,430,329326
2,1,22,430,329326
3,1,22,402,446207
4,1,22,402,446207
1,1,23,540,413564
2,1,23,540,413564
3,1,23,504,559871
4,1,23,504,559871
1,1,24,575,440639
2,1,24,575,440639
3,1,24,537,596405
4,1,24,537,596405
1,1,25,522,399891
2,1,25,522,399891
3,1,25,488,541422
4,1,25,488,541422
1,1,26,509,390078
2,1,26,509,390078
3,1,26,476,528181
4,1,26,476,528181
1,1,27,507,388223
2,1,27,507,388223
3,1,27,473,525678
4,1,27,473,525678
1,1,28,450,344992
2,1,28,450,344992
3,1,28,421,467345
4,1,28,421,467345
1,1,29,508,389500
2,1,29,508,389500
3,1,29,475,527401
4,1,29,475,527401
1,1,30,507,388422
2,1,30,507,388422
3,1,30,474,525947
4,1,30,474,525947
1,1,31,290,221828
2,1,31,290,221828
3,1,31,270,299319
4,1,31,270,299319
1,1,32,596,456498
2,1,32,596,456498
3,1,32,555,615966
4,1,32,555,615966
1,1,33,582,445683
2,1,33,582,445683
3,1,33,542,601372
4,1,33,542,601372
1,1,34,582,445797
2,1,34,582,445797
3,1,34,542,601526
4,1,34,542,601526
1,1,35,592,453142
2,1,35,592,453142
3,1,35,551,611438
4,1,35,551,611438
1,1,36,593,454295
2,1,36,593,454295
3,1,36,552,612993
4,1,36,552,612993
1,1,37,596,456900
2,1,37,596,456900
3,1,37,555,616509
4,1,37,555,616509
1,1,38,658,504078
2,1,38,658,504078
3,1,38,614,682004
4,1,38,614,682004
1,1,39,582,445918
2,1,39,582,445918
3,1,39,542,601691
4,1,39,542,601691
1,1,40,349,267262
2,1,40,349,267262
3,1,40,325,360624
4,1,40,325,360624
1,1,41,356,272716
2,1,41,356,272716
3,1,41,331,367984
4,1,41,331,367984
1,1,42,298,227954
2,1,42,298,227954
3,1,42,277,307584
4,1,42,277,307584
1,1,43,381,291755
2,1,43,381,291755
3,1,43,355,393674
4,1,43,355,393674
1,1,44,359,275376
2,1,44,359,275376
3,1,44,335,371572
4,1,44,335,371572
1,1,45,313,239903
2,1,45,313,239903
3,1,45,292,323707
4,1,45,292,323707
1,1,46,375,287163
2,1,46,375,287163
3,1,46,349,387478
4,1,46,349,387478
1,1,47,371,284327
2,1,47,371,284327
3,1,47,346,383651
4,1,47,346,383651
1,1,48,399,305448
2,1,48,399,305448
3,1,48,371,412149
4,1,48,371,412149
1,1,49,367,280764
2,1,49,367,280764
3,1,49,341,378843
4,1,49,341,378843
1,1,50,357,273586
2,1,50,357,273586
3,1,50,333,369158
4,1,50,333,369158
1,1,51,379,290476
2,1,51,379,290476
3,1,51,353,391948
4,1,51,353,391948
1,1,52,392,300573
2,1,52,392,300573
3,1,52,365,405572
4,1,52,365,405572
1,1,53,373,285653
2,1,53,373,285653
3,1,53,347,385440
4,1,53,347,385440
1,1,54,354,271096
2,1,54,354,271096
3,1,54,329,365798
4,1,54,329,365798
1,1,55,403,308593
2,1,55,403,308593
3,1,55,375,416393
4,1,55,375,416393
1,1,56,354,271459
2,1,56,354,271459
3,1,56,330,366288
4,1,56,330,366288
1,1,57,379,290521
2,1,57,379,290521
3,1,57,353,392008
4,1,57,353,392008
1,1,58,407,311561
2,1,58,407,311561
3,1,58,379,420398
4,1,58,379,420398
1,1,59,412,315354
2,1,59,412,315354
3,1,59,385,427354
4,1,59,385,427354
1,1,60,357,273412
2,1,60,357,273412
3,1,60,334,370761
4,1,60,334,370761
1,1,61,416,318948
2,1,61,416,318948
3,1,61,389,432204
4,1,61,389,432204
1,1,62,395,302861
2,1,62,395,302861
3,1,62,370,410497
4,1,62,370,410497
1,1,63,374,286572
2,1,63,374,286572
3,1,63,350,388517
4,1,63,350,388517
1,1,64,420,321562
2,1,64,420,321562
3,1,64,392,435731
4,1,64,392,435731
1,1,65,371,284487
2,1,65,371,284487
3,1,65,347,385704
4,1,65,347,385704
1,1,66,363,277839
2,1,66,363,277839
3,1,66,339,376734
4,1,66,339,376734
1,1,67,330,252523
2,1,67,330,252523
3,1,67,309,342574
4,1,67,309,342574
1,1,68,375,287039
2,1,68,375,287039
3,1,68,351,389148
4,1,68,351,389148
1,1,69,193,147914
2,1,69,193,147914
3,1,69,180,199584
4,1,69,180,199584
1,1,70,757,579975
2,1,70,757,579975
3,1,70,707,784415
4,1,70,707,784415
1,1,71,686,525132
2,1,71,686,525132
3,1,71,640,710413
4,1,71,640,710413
1,1,72,711,545024
2,1,72,711,545024
3,1,72,662,735416
4,1,72,662,735416
1,1,73,760,582134
2,1,73,760,582134
3,1,73,708,785491
4,1,73,708,785491
1,1,74,761,582982
2,1,74,761,582982
3,1,74,709,786635
4,1,74,709,786635
1,1,75,712,545431
2,1,75,712,545431
3,1,75,663,735966
4,1,75,663,735966
1,1,76,707,541870
2,1,76,707,541870
3,1,76,659,731161
4,1,76,659,731161
1,1,77,710,544212
2,1,77,710,544212
3,1,77,661,734321
4,1,77,661,734321
1,1,78,720,551896
2,1,78,720,551896
