#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 2 (=DEEPSEA)
# Vessel types: 5,6
# Vessel count: 3,2
# Number of cargoes: 18
# Cargo sizes: 2
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 2 (out of 5)
#----------------------------------------------------------------

# number of ports
86
# number of vessels
5
# for each vessel: vessel index, home port, starting time, capacity
1,13,11,63000
2,78,0,63000
3,73,0,63000
4,41,78,81200
5,33,0,81200
# number of cargoes
18
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,4,5,6,8,9,10,11,12,14,15,16,18
2,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,18
3,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,18
4,1,2,4,5,6,8,9,11,12,14,16,17,18
5,1,2,4,5,6,8,9,10,11,12,14,15,16,17,18
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,72,54,9271,4841167,417,585,417,1605
2,42,86,56950,9236573,483,651,483,1112
3,76,34,26128,8513426,39,207,39,1204
4,76,41,41677,6614722,838,1006,838,1473
5,48,68,21401,7241011,1051,1219,1051,1845
6,41,7,16814,15011955,1291,1459,1291,2128
7,74,54,33578,6004504,43,211,43,685
8,84,60,23851,7980250,834,1002,834,1579
9,72,47,17141,6303588,792,960,792,1499
10,64,77,35485,8071456,82,250,82,1015
11,78,57,23623,6103478,318,486,318,1006
12,46,71,33747,10349159,1174,1342,1174,2015
13,78,37,31174,8942200,0,168,0,753
14,78,39,16822,11399117,862,1030,862,2077
15,25,57,11952,9087246,235,403,235,1298
16,72,50,31746,4567584,834,1002,834,1523
17,77,48,65853,5483884,261,429,261,895
18,56,35,19613,13550006,379,547,379,2480
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
1,1,2,56,275581
2,1,2,56,275581
3,1,2,56,275581
4,1,2,55,338963
5,1,2,55,338963
1,1,3,291,1431061
2,1,3,291,1431061
3,1,3,291,1431061
4,1,3,287,1762565
5,1,3,287,1762565
1,1,4,271,1334453
2,1,4,271,1334453
3,1,4,271,1334453
4,1,4,267,1643737
5,1,4,267,1643737
1,1,5,300,1475895
2,1,5,300,1475895
3,1,5,300,1475895
4,1,5,296,1817710
5,1,5,296,1817710
1,1,6,288,1414144
2,1,6,288,1414144
3,1,6,288,1414144
4,1,6,283,1741756
5,1,6,283,1741756
1,1,7,298,1463042
2,1,7,298,1463042
3,1,7,298,1463042
4,1,7,293,1801900
5,1,7,293,1801900
1,1,8,316,1551217
2,1,8,316,1551217
3,1,8,316,1551217
4,1,8,311,1910357
5,1,8,311,1910357
1,1,9,302,1483954
2,1,9,302,1483954
3,1,9,302,1483954
4,1,9,297,1827622
5,1,9,297,1827622
1,1,10,309,1519820
2,1,10,309,1519820
3,1,10,309,1519820
4,1,10,305,1871737
5,1,10,305,1871737
1,1,11,318,1564063
2,1,11,318,1564063
3,1,11,318,1564063
4,1,11,313,1926157
5,1,11,313,1926157
1,1,12,275,1353837
2,1,12,275,1353837
3,1,12,275,1353837
4,1,12,271,1667580
5,1,12,271,1667580
1,1,13,265,1303075
2,1,13,265,1303075
3,1,13,265,1303075
4,1,13,261,1605141
5,1,13,261,1605141
1,1,14,249,1223648
2,1,14,249,1223648
3,1,14,249,1223648
4,1,14,245,1507447
5,1,14,245,1507447
1,1,15,288,1416664
2,1,15,288,1416664
3,1,15,288,1416664
4,1,15,284,1744855
5,1,15,284,1744855
1,1,16,308,1515101
2,1,16,308,1515101
3,1,16,308,1515101
4,1,16,304,1865935
5,1,16,304,1865935
1,1,17,328,1612841
2,1,17,328,1612841
3,1,17,328,1612841
4,1,17,323,1986154
5,1,17,323,1986154
1,1,18,275,1354177
2,1,18,275,1354177
3,1,18,275,1354177
4,1,18,271,1667998
5,1,18,271,1667998
1,1,19,309,1519820
2,1,19,309,1519820
3,1,19,309,1519820
4,1,19,305,1871737
5,1,19,305,1871737
1,1,20,292,1434211
2,1,20,292,1434211
3,1,20,292,1434211
4,1,20,287,1766439
5,1,20,287,1766439
1,1,21,270,1326437
2,1,21,270,1326437
3,1,21,270,1326437
4,1,21,266,1633877
5,1,21,266,1633877
1,1,22,247,1213204
2,1,22,247,1213204
3,1,22,247,1213204
4,1,22,243,1494600
5,1,22,243,1494600
1,1,23,307,1509908
2,1,23,307,1509908
3,1,23,307,1509908
4,1,23,303,1859546
5,1,23,303,1859546
1,1,24,326,1605273
2,1,24,326,1605273
3,1,24,326,1605273
4,1,24,322,1976847
5,1,24,322,1976847
1,1,25,297,1461750
2,1,25,297,1461750
3,1,25,297,1461750
4,1,25,293,1800313
5,1,25,293,1800313
1,1,26,290,1427185
2,1,26,290,1427185
3,1,26,290,1427185
4,1,26,286,1757799
5,1,26,286,1757799
1,1,27,289,1420653
2,1,27,289,1420653
3,1,27,289,1420653
4,1,27,285,1749763
5,1,27,285,1749763
1,1,28,258,1268383
2,1,28,258,1268383
3,1,28,258,1268383
4,1,28,254,1562471
5,1,28,254,1562471
1,1,29,290,1425150
2,1,29,290,1425150
3,1,29,290,1425150
4,1,29,286,1755294
5,1,29,286,1755294
1,1,30,289,1421355
2,1,30,289,1421355
3,1,30,289,1421355
4,1,30,285,1750627
5,1,30,285,1750627
1,1,31,159,781328
2,1,31,159,781328
3,1,31,159,781328
4,1,31,156,961032
5,1,31,156,961032
1,1,32,327,1607888
2,1,32,327,1607888
3,1,32,327,1607888
4,1,32,322,1977702
5,1,32,322,1977702
1,1,33,319,1569793
2,1,33,319,1569793
3,1,33,319,1569793
4,1,33,314,1930847
5,1,33,314,1930847
1,1,34,319,1570196
2,1,34,319,1570196
3,1,34,319,1570196
4,1,34,314,1931340
5,1,34,314,1931340
1,1,35,325,1596067
2,1,35,325,1596067
3,1,35,325,1596067
4,1,35,319,1963164
5,1,35,319,1963164
1,1,36,325,1600126
2,1,36,325,1600126
3,1,36,325,1600126
4,1,36,320,1968157
5,1,36,320,1968157
1,1,37,327,1609306
2,1,37,327,1609306
3,1,37,327,1609306
4,1,37,322,1979447
5,1,37,322,1979447
1,1,38,368,1807760
2,1,38,368,1807760
3,1,38,368,1807760
4,1,38,362,2223545
5,1,38,362,2223545
1,1,39,319,1570625
2,1,39,319,1570625
3,1,39,319,1570625
4,1,39,314,1931868
5,1,39,314,1931868
1,1,40,191,941356
2,1,40,191,941356
3,1,40,191,941356
4,1,40,188,1157868
5,1,40,188,1157868
1,1,41,195,960568
2,1,41,195,960568
3,1,41,195,960568
4,1,41,192,1181499
5,1,41,192,1181499
1,1,42,163,802903
2,1,42,163,802903
3,1,42,163,802903
4,1,42,161,987571
5,1,42,161,987571
1,1,43,209,1027627
2,1,43,209,1027627
3,1,43,209,1027627
4,1,43,206,1263981
5,1,43,206,1263981
1,1,44,197,969934
2,1,44,197,969934
3,1,44,197,969934
4,1,44,194,1193019
5,1,44,194,1193019
1,1,45,172,844991
2,1,45,172,844991
3,1,45,172,844991
4,1,45,169,1039337
5,1,45,169,1039337
1,1,46,206,1011453
2,1,46,206,1011453
3,1,46,206,1011453
4,1,46,202,1244087
5,1,46,202,1244087
1,1,47,204,1001465
2,1,47,204,1001465
3,1,47,204,1001465
4,1,47,200,1231803
5,1,47,200,1231803
1,1,48,219,1075854
2,1,48,219,1075854
3,1,48,219,1075854
4,1,48,215,1323300
5,1,48,215,1323300
1,1,49,201,988915
2,1,49,201,988915
3,1,49,201,988915
4,1,49,198,1216365
5,1,49,198,1216365
1,1,50,196,963633
2,1,50,196,963633
3,1,50,196,963633
4,1,50,193,1185268
5,1,50,193,1185268
1,1,51,208,1023121
2,1,51,208,1023121
3,1,51,208,1023121
4,1,51,205,1258440
5,1,51,205,1258440
1,1,52,215,1058687
2,1,52,215,1058687
3,1,52,215,1058687
4,1,52,212,1302184
5,1,52,212,1302184
1,1,53,205,1006133
2,1,53,205,1006133
3,1,53,205,1006133
4,1,53,201,1237544
5,1,53,201,1237544
1,1,54,194,954862
2,1,54,194,954862
3,1,54,194,954862
4,1,54,191,1174479
5,1,54,191,1174479
1,1,55,221,1086932
2,1,55,221,1086932
3,1,55,221,1086932
4,1,55,218,1336927
5,1,55,218,1336927
1,1,56,194,956140
2,1,56,194,956140
3,1,56,194,956140
4,1,56,191,1176051
