#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 2 (=DEEPSEA)
# Vessel types: 3,4
# Vessel count: 12,8
# Number of cargoes: 80
# Cargo sizes: 2
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 3 (out of 5)
#----------------------------------------------------------------

# number of ports
86
# number of vessels
20
# for each vessel: vessel index, home port, starting time, capacity
1,13,0,130000
2,78,0,130000
3,73,0,130000
4,41,0,130000
5,33,491,130000
6,45,755,130000
7,41,0,130000
8,30,40,130000
9,24,756,130000
10,62,0,130000
11,58,0,130000
12,72,117,130000
13,62,0,71000
14,72,0,71000
15,75,0,71000
16,12,0,71000
17,19,0,71000
18,56,669,71000
19,71,0,71000
20,33,0,71000
# number of cargoes
80
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,3,4,5,6,8,9,10,11,12,13,16,17,18,19,20,21,22,23,25,26,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,49,51,52,53,54,56,57,58,59,61,62,63,64,65,66,67,68,69,72,74,75,76,78,79,80
2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80
3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80
4,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,44,45,47,48,49,51,52,53,54,55,56,57,58,59,61,62,63,64,65,67,68,69,71,72,73,74,75,76,77,78,79,80
5,1,2,3,4,5,6,8,9,10,12,13,16,18,19,20,21,22,25,26,28,29,30,31,33,35,36,37,38,39,41,42,43,44,45,49,51,52,53,54,56,57,58,59,61,62,63,64,65,67,68,69,75,76,78,80
6,1,2,3,4,6,8,9,10,11,13,16,17,18,19,20,21,22,26,28,29,30,31,32,33,35,36,37,39,41,42,43,44,45,49,52,53,54,56,57,58,59,61,62,63,64,65,67,68,69,72,75,76,78,80
7,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,44,45,47,48,49,51,52,53,54,55,56,57,58,59,61,62,63,64,65,67,68,69,71,72,73,74,75,76,77,78,79,80
8,1,2,3,4,5,6,8,9,10,11,12,13,16,17,18,19,20,21,22,25,26,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,49,51,52,53,54,56,57,58,59,61,62,63,64,65,66,67,68,69,72,75,76,78,80
9,1,2,3,4,5,6,8,9,10,13,16,19,20,21,22,25,29,30,31,33,35,36,37,42,43,44,49,52,53,54,56,57,58,59,62,63,64,65,67,68,69,75,76,78
10,1,2,3,4,5,6,8,9,10,11,12,13,16,17,18,19,20,21,22,23,25,26,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,49,51,52,53,54,56,57,58,59,61,62,63,64,65,66,67,68,69,72,75,76,78,79,80
11,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,44,45,47,48,49,52,53,54,55,56,57,58,59,61,62,63,64,65,67,68,69,71,72,73,74,75,76,77,78,79,80
12,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80
13,1,2,3,4,7,8,9,10,11,13,17,18,20,21,22,23,25,26,29,30,31,32,35,40,41,45,52,53,54,56,58,61,62,65,71,72,74,75,76,78,79,80
14,1,2,3,4,7,8,9,10,11,13,14,15,17,18,20,21,22,23,24,25,26,29,30,31,32,35,41,45,52,53,54,55,56,58,60,61,62,65,70,71,72,74,75,76,78,79,80
15,1,2,3,4,7,8,9,10,11,13,14,15,17,18,20,21,22,23,24,25,26,29,30,31,32,35,41,45,52,53,54,55,56,58,60,61,62,65,70,71,72,74,75,76,78,79,80
16,1,2,3,4,7,8,9,10,11,13,17,18,20,21,22,23,25,26,29,30,31,32,35,40,41,45,52,53,54,56,58,61,62,65,71,72,74,75,76,78,79,80
17,1,2,3,4,7,8,9,10,11,13,17,18,20,21,22,23,25,26,29,30,31,32,35,40,41,45,52,53,54,56,58,61,62,65,71,72,74,75,76,78,79,80
18,1,2,3,4,8,9,10,11,13,17,18,20,21,22,25,26,29,30,31,32,35,41,45,52,53,54,56,58,61,62,65,72,75,76,78,80
19,1,2,3,4,7,8,9,10,11,13,15,17,18,20,21,22,23,24,25,26,29,30,31,32,35,41,45,52,53,54,55,56,58,61,62,65,71,72,74,75,76,78,79,80
20,1,2,3,4,7,8,9,10,11,13,17,18,20,21,22,23,25,26,29,30,31,32,35,41,45,52,53,54,55,56,58,61,62,65,71,72,74,75,76,78,79,80
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,72,58,62411,2934367,2284,2452,2284,2991
2,72,32,51232,4374564,3081,3249,3081,4051
3,62,32,66821,3512085,3424,3592,3424,4229
4,33,16,59573,4718313,2924,3092,2924,3699
5,15,77,104959,7058335,1238,1406,1238,2757
6,36,59,94488,5072674,3439,3607,3439,4091
7,79,33,24851,4961992,493,661,493,1512
8,4,51,49561,4592587,3150,3318,3150,4930
9,51,36,44084,6669988,3973,4141,3973,5887
10,37,3,55376,3004857,2553,2721,2553,3295
11,54,31,61043,2934337,886,1054,886,2644
12,36,46,86939,5319266,735,903,735,1975
13,9,70,32876,3456783,4970,5138,4970,5694
14,73,63,52214,3640230,152,320,152,1205
15,72,55,14968,3821054,305,473,305,1061
16,72,38,76573,5232806,3254,3422,3254,4513
17,43,9,63501,4524606,966,1134,966,2440
18,72,55,33703,3148415,976,1144,976,1625
19,80,38,74746,5270457,2949,3117,2949,4246
20,76,57,41018,3419196,2595,2763,2595,3302
21,75,43,38756,3634521,1722,1890,1722,2539
22,73,9,28490,5882703,3090,3258,3090,4051
23,80,52,43035,3507276,799,967,799,1566
24,76,32,60622,4141491,386,554,386,1410
25,30,80,21064,3352628,1273,1441,1273,2935
26,81,36,35913,5777253,1410,1578,1410,3735
27,73,66,75194,6162948,398,566,398,1919
28,81,52,91375,4546272,1502,1670,1502,2275
29,76,42,21011,3825426,2155,2323,2155,4306
30,86,43,17121,3816210,3231,3399,3231,4200
31,34,46,58644,4733142,1731,1899,1731,3004
32,43,7,34767,4485370,868,1036,868,2234
33,47,75,74577,2801430,2846,3014,2846,3588
34,74,42,89797,3507587,523,691,523,1488
35,77,44,62332,2718981,3429,3597,3429,4258
36,72,50,86126,2868773,2008,2176,2008,2934
37,38,9,82845,3622128,3732,3900,3732,4537
38,34,68,99199,5666462,493,661,493,1333
39,73,45,76909,3919047,1358,1526,1358,2293
40,4,53,31439,5351642,0,168,0,1659
41,78,52,52311,2752081,1152,1320,1152,1978
42,26,75,91182,6646791,1964,2132,1964,3516
43,2,84,79259,4851472,2600,2768,2600,3846
44,74,37,101762,5785770,2012,2180,2012,3284
45,79,22,21958,5275247,1394,1562,1394,2348
46,73,41,101893,3288192,151,319,151,1014
47,77,49,97100,4187473,240,408,240,1107
48,73,51,96168,3754636,260,428,260,1024
49,54,79,103629,2731508,1603,1771,1603,2470
50,76,35,104810,6125735,0,168,0,1147
51,37,49,100964,5241661,602,770,602,1838
52,78,39,33867,6429841,2180,2348,2180,3909
53,79,57,19980,2724224,2378,2546,2378,3257
54,81,53,30372,3185965,1804,1972,1804,2597
55,80,32,52550,4958530,445,613,445,1463
56,36,41,33177,4242381,2058,2226,2058,3460
57,76,35,80533,4387384,1962,2130,1962,3047
58,48,68,37310,6695642,2091,2259,2091,3314
59,74,49,71882,3994337,2709,2877,2709,3559
60,80,38,64436,6759423,63,231,63,907
61,74,25,17536,8428850,1429,1597,1429,2456
62,47,7,33692,4833207,2686,2854,2686,4273
63,79,39,78397,5472419,2522,2690,2522,3554
64,57,60,82260,4861078,3728,3896,3728,4782
65,80,34,26120,3498724,3457,3625,3457,4400
66,16,58,83946,5844835,45,213,45,1422
67,80,35,84388,4993541,4654,4822,4654,5860
68,78,58,89455,2347162,4362,4530,4362,5113
69,72,53,106332,2837634,3301,3469,3301,4043
70,77,69,60429,6004434,0,168,0,859
71,75,41,56706,2647837,682,850,682,1447
72,42,24,30816,6157216,914,1082,914,2234
73,75,42,95239,4100657,201,369,201,1023
74,75,51,64430,3844179,747,915,747,1472
75,79,29,51075,8176669,2115,2283,2115,3115
76,79,46,26012,3577969,1669,1837,1669,2523
77,72,54,72090,3736250,634,802,634,1441
78,7,50,23244,4841227,2391,2559,2391,3518
79,78,36,59903,4636824,788,956,788,1797
80,81,69,57258,3656242,1210,1378,1210,2110
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
7,1,1,0,0
8,1,1,0,0
9,1,1,0,0
10,1,1,0,0
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
14,1,1,0,0
15,1,1,0,0
16,1,1,0,0
17,1,1,0,0
18,1,1,0,0
19,1,1,0,0
20,1,1,0,0
1,1,2,95,144025
2,1,2,95,144025
3,1,2,95,144025
4,1,2,95,144025
5,1,2,95,144025
6,1,2,95,144025
7,1,2,95,144025
8,1,2,95,144025
9,1,2,95,144025
10,1,2,95,144025
11,1,2,95,144025
12,1,2,95,144025
13,1,2,95,118766
14,1,2,95,118766
15,1,2,95,118766
16,1,2,95,118766
17,1,2,95,118766
18,1,2,95,118766
19,1,2,95,118766
20,1,2,95,118766
1,1,3,477,722588
2,1,3,477,722588
3,1,3,477,722588
4,1,3,477,722588
5,1,3,477,722588
6,1,3,477,722588
7,1,3,477,722588
8,1,3,477,722588
9,1,3,477,722588
10,1,3,477,722588
11,1,3,477,722588
12,1,3,477,722588
13,1,3,477,595862
14,1,3,477,595862
15,1,3,477,595862
16,1,3,477,595862
17,1,3,477,595862
18,1,3,477,595862
19,1,3,477,595862
20,1,3,477,595862
1,1,4,444,672098
2,1,4,444,672098
3,1,4,444,672098
4,1,4,444,672098
5,1,4,444,672098
6,1,4,444,672098
7,1,4,444,672098
8,1,4,444,672098
9,1,4,444,672098
10,1,4,444,672098
11,1,4,444,672098
12,1,4,444,672098
13,1,4,444,554227
14,1,4,444,554227
15,1,4,444,554227
16,1,4,444,554227
