#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 1 (=SHORTSEA)
# Vessel types: 1,2
# Vessel count: 3,2
# Number of cargoes: 13
# Cargo sizes: 4
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 2 (out of 5)
#----------------------------------------------------------------

# number of ports
39
# number of vessels
5
# for each vessel: vessel index, home port, starting time, capacity
1,8,0,100
2,13,82,100
3,31,0,100
4,14,33,100
5,12,28,100
# number of cargoes
13
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,3,4,6,7,8,9,10,11,12,13
2,1,2,3,7,9,10,11,12,13
3,1,2,3,5,6,7,8,9,10,11,12,13
4,1,2,3,6,7,8,9,10,11,12,13
5,1,2,3,6,7,8,9,10,11,12,13
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,29,27,100,517039,536,608,536,1113
2,4,21,100,303952,585,657,585,1026
3,11,14,100,396530,266,338,266,776
4,9,6,100,550610,0,72,0,488
5,36,11,100,439568,64,136,64,558
6,1,6,100,340247,16,88,16,437
7,10,37,100,483068,756,828,756,1265
8,11,39,100,329191,60,132,60,514
9,30,35,100,702066,339,411,339,920
10,4,38,100,415824,406,478,406,897
11,11,36,100,356104,223,295,223,705
12,29,35,100,898971,244,316,244,777
13,29,35,100,524857,673,745,673,1196
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
1,1,2,71,48031
2,1,2,71,48031
3,1,2,71,48031
4,1,2,66,38871
5,1,2,66,38871
1,1,3,19,12930
2,1,3,19,12930
3,1,3,19,12930
4,1,3,18,10464
5,1,3,18,10464
1,1,4,134,90788
2,1,4,134,90788
3,1,4,134,90788
4,1,4,125,73474
5,1,4,125,73474
1,1,5,66,45000
2,1,5,66,45000
3,1,5,66,45000
4,1,5,62,36418
5,1,5,62,36418
1,1,6,23,15911
2,1,6,23,15911
3,1,6,23,15911
4,1,6,22,12877
5,1,6,22,12877
1,1,7,21,14445
2,1,7,21,14445
3,1,7,21,14445
4,1,7,20,11690
5,1,7,20,11690
1,1,8,8,5106
2,1,8,8,5106
3,1,8,8,5106
4,1,8,7,4132
5,1,8,7,4132
1,1,9,52,35625
2,1,9,52,35625
3,1,9,52,35625
4,1,9,49,28831
5,1,9,49,28831
1,1,10,116,78762
2,1,10,116,78762
3,1,10,116,78762
4,1,10,108,63741
5,1,10,108,63741
1,1,11,110,74439
2,1,11,110,74439
3,1,11,110,74439
4,1,11,102,60243
5,1,11,102,60243
1,1,12,63,42752
2,1,12,63,42752
3,1,12,63,42752
4,1,12,59,34599
5,1,12,59,34599
1,1,13,58,39524
2,1,13,58,39524
3,1,13,58,39524
4,1,13,54,31987
5,1,13,54,31987
1,1,14,24,16035
2,1,14,24,16035
3,1,14,24,16035
4,1,14,22,12977
5,1,14,22,12977
1,1,15,28,18784
2,1,15,28,18784
3,1,15,28,18784
4,1,15,26,15202
5,1,15,26,15202
1,1,16,21,14424
2,1,16,21,14424
3,1,16,21,14424
4,1,16,20,11673
5,1,16,20,11673
1,1,17,32,22026
2,1,17,32,22026
3,1,17,32,22026
4,1,17,30,17826
5,1,17,30,17826
1,1,18,67,45672
2,1,18,67,45672
3,1,18,67,45672
4,1,18,63,36963
5,1,18,63,36963
1,1,19,28,18710
2,1,19,28,18710
3,1,19,28,18710
4,1,19,26,15142
5,1,19,26,15142
1,1,20,95,64634
2,1,20,95,64634
3,1,20,95,64634
4,1,20,89,52308
5,1,20,89,52308
1,1,21,97,65901
2,1,21,97,65901
3,1,21,97,65901
4,1,21,90,53333
5,1,21,90,53333
1,1,22,21,14128
2,1,22,21,14128
3,1,22,21,14128
4,1,22,19,11434
5,1,22,19,11434
1,1,23,19,12941
2,1,23,19,12941
3,1,23,19,12941
4,1,23,18,10473
5,1,23,18,10473
1,1,24,21,14128
2,1,24,21,14128
3,1,24,21,14128
4,1,24,19,11434
5,1,24,19,11434
1,1,25,98,66498
2,1,25,98,66498
3,1,25,98,66498
4,1,25,91,53817
5,1,25,91,53817
1,1,26,27,18076
2,1,26,27,18076
3,1,26,27,18076
4,1,26,25,14629
5,1,26,25,14629
1,1,27,37,25258
2,1,27,37,25258
3,1,27,37,25258
4,1,27,35,20441
5,1,27,35,20441
1,1,28,44,30017
2,1,28,44,30017
3,1,28,44,30017
4,1,28,41,24293
5,1,28,41,24293
1,1,29,145,98181
2,1,29,145,98181
3,1,29,145,98181
4,1,29,135,79458
5,1,29,135,79458
1,1,30,70,47366
2,1,30,70,47366
3,1,30,70,47366
4,1,30,65,38333
5,1,30,65,38333
1,1,31,79,53730
2,1,31,79,53730
3,1,31,79,53730
4,1,31,74,43483
5,1,31,74,43483
1,1,32,8,5119
2,1,32,8,5119
3,1,32,8,5119
4,1,32,7,4142
5,1,32,7,4142
1,1,33,113,76839
2,1,33,113,76839
3,1,33,113,76839
4,1,33,105,62186
5,1,33,105,62186
1,1,34,180,122314
2,1,34,180,122314
3,1,34,180,122314
4,1,34,168,98988
5,1,34,168,98988
1,1,35,219,148464
2,1,35,219,148464
3,1,35,219,148464
4,1,35,204,120151
5,1,35,204,120151
1,1,36,177,120325
2,1,36,177,120325
3,1,36,177,120325
4,1,36,165,97379
5,1,36,165,97379
1,1,37,237,160526
2,1,37,237,160526
3,1,37,237,160526
4,1,37,220,129913
5,1,37,220,129913
1,1,38,231,156604
2,1,38,231,156604
3,1,38,231,156604
4,1,38,215,126739
5,1,38,215,126739
1,1,39,179,121279
2,1,39,179,121279
3,1,39,179,121279
4,1,39,166,98151
5,1,39,166,98151
1,2,1,71,48031
2,2,1,71,48031
3,2,1,71,48031
4,2,1,66,38871
5,2,1,66,38871
1,2,2,0,0
2,2,2,0,0
3,2,2,0,0
4,2,2,0,0
5,2,2,0,0
1,2,3,55,37544
2,2,3,55,37544
3,2,3,55,37544
4,2,3,51,30385
5,2,3,51,30385
1,2,4,81,55207
2,2,4,81,55207
3,2,4,81,55207
4,2,4,76,44679
5,2,4,76,44679
1,2,5,51,34473
2,2,5,51,34473
3,2,5,51,34473
4,2,5,47,27899
5,2,5,47,27899
1,2,6,54,36752
2,2,6,54,36752
3,2,6,54,36752
4,2,6,50,29744
5,2,6,50,29744
1,2,7,51,34311
2,2,7,51,34311
3,2,7,51,34311
4,2,7,47,27768
5,2,7,47,27768
1,2,8,74,50058
2,2,8,74,50058
3,2,8,74,50058
4,2,8,69,40512
5,2,8,69,40512
1,2,9,119,80577
2,2,9,119,80577
3,2,9,119,80577
4,2,9,111,65211
5,2,9,111,65211
1,2,10,64,43181
2,2,10,64,43181
3,2,10,64,43181
4,2,10,59,34946
5,2,10,59,34946
1,2,11,57,38858
2,2,11,57,38858
3,2,11,57,38858
4,2,11,53,31448
5,2,11,53,31448
1,2,12,14,9328
2,2,12,14,9328
3,2,12,14,9328
4,2,12,13,7549
5,2,12,13,7549
1,2,13,18,12169
2,2,13,18,12169
3,2,13,18,12169
4,2,13,17,9848
5,2,13,17,9848
1,2,14,48,32497
2,2,14,48,32497
3,2,14,48,32497
4,2,14,45,26299
5,2,14,45,26299
1,2,15,66,44472
2,2,15,66,44472
3,2,15,66,44472
4,2,15,61,35991
5,2,15,61,35991
1,2,16,52,35265
2,2,16,52,35265
3,2,16,52,35265
4,2,16,48,28540
5,2,16,48,28540
1,2,17,99,66978
2,2,17,99,66978
3,2,17,99,66978
4,2,17,92,54206
5,2,17,92,54206
1,2,18,122,82897
2,2,18,122,82897
3,2,18,122,82897
4,2,18,114,67088
5,2,18,114,67088
1,2,19,83,56587
2,2,19,83,56587
3,2,19,83,56587
4,2,19,78,45796
5,2,19,78,45796
1,2,20,43,29053
2,2,20,43,29053
3,2,20,43,29053
4,2,20,40,23512
5,2,20,40,23512
1,2,21,45,30320
2,2,21,45,30320
3,2,21,45,30320
4,2,21,42,24538
5,2,21,42,24538
1,2,22,87,59080
2,2,22,87,59080
3,2,22,87,59080
4,2,22,81,47813
5,2,22,81,47813
1,2,23,85,57893
2,2,23,85,57893
3,2,23,85,57893
4,2,23,79,46853
5,2,23,79,46853
1,2,24,87,59080
2,2,24,87,59080
3,2,24,87,59080
4,2,24,81,47813
5,2,24,81,47813
1,2,25,46,30917
2,2,25,46,30917
3,2,25,46,30917
4,2,25,42,25021
