#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 1 (=SHORTSEA)
# Vessel types: 3,4
# Vessel count: 3,3
# Number of cargoes: 16
# Cargo sizes: 4
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 3 (out of 5)
#----------------------------------------------------------------

# number of ports
39
# number of vessels
6
# for each vessel: vessel index, home port, starting time, capacity
1,8,78,100
2,13,0,100
3,31,0,100
4,14,221,100
5,12,0,100
6,12,0,100
# number of cargoes
16
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,3,4,5,6,7,8,10,11,12,14,15,16
2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4,1,2,3,4,5,6,8,10,11,15,16
5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,26,25,100,536483,409,481,409,913
2,10,36,100,654683,945,1017,945,1419
3,31,35,100,806522,724,796,724,1274
4,29,34,100,838607,951,1023,951,1529
5,17,35,100,1247629,205,277,205,865
6,31,37,100,647860,894,966,894,1470
7,32,27,100,443167,151,223,151,606
8,31,34,100,687896,579,651,579,1102
9,31,27,100,662649,61,133,61,582
10,2,38,100,789071,416,488,416,1009
11,11,35,100,838077,763,835,763,1330
12,17,37,100,960719,57,129,74,794
13,25,9,100,745367,0,72,0,576
14,18,11,100,714438,166,238,166,774
15,15,21,100,952763,387,459,387,917
16,11,19,100,624285,242,314,242,824
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
1,1,2,80,53272
2,1,2,80,53272
3,1,2,80,53272
4,1,2,72,64637
5,1,2,72,64637
6,1,2,72,64637
1,1,3,21,14341
2,1,3,21,14341
3,1,3,21,14341
4,1,3,19,17401
5,1,3,19,17401
6,1,3,19,17401
1,1,4,150,100694
2,1,4,150,100694
3,1,4,150,100694
4,1,4,137,122177
5,1,4,137,122177
6,1,4,137,122177
1,1,5,75,49910
2,1,5,75,49910
3,1,5,75,49910
4,1,5,68,60558
5,1,5,68,60558
6,1,5,68,60558
1,1,6,26,17647
2,1,6,26,17647
3,1,6,26,17647
4,1,6,24,21412
5,1,6,24,21412
6,1,6,24,21412
1,1,7,24,16021
2,1,7,24,16021
3,1,7,24,16021
4,1,7,22,19439
5,1,7,22,19439
6,1,7,22,19439
1,1,8,8,5663
2,1,8,8,5663
3,1,8,8,5663
4,1,8,8,6871
5,1,8,8,6871
6,1,8,8,6871
1,1,9,59,39512
2,1,9,59,39512
3,1,9,59,39512
4,1,9,54,47942
5,1,9,54,47942
6,1,9,54,47942
1,1,10,131,87356
2,1,10,131,87356
3,1,10,131,87356
4,1,10,119,105993
5,1,10,119,105993
6,1,10,119,105993
1,1,11,123,82562
2,1,11,123,82562
3,1,11,123,82562
4,1,11,112,100176
5,1,11,112,100176
6,1,11,112,100176
1,1,12,71,47417
2,1,12,71,47417
3,1,12,71,47417
4,1,12,64,57534
5,1,12,64,57534
6,1,12,64,57534
1,1,13,66,43837
2,1,13,66,43837
3,1,13,66,43837
4,1,13,60,53190
5,1,13,60,53190
6,1,13,60,53190
1,1,14,27,17784
2,1,14,27,17784
3,1,14,27,17784
4,1,14,24,21578
5,1,14,24,21578
6,1,14,24,21578
1,1,15,31,20834
2,1,15,31,20834
3,1,15,31,20834
4,1,15,28,25279
5,1,15,28,25279
6,1,15,28,25279
1,1,16,24,15998
2,1,16,24,15998
3,1,16,24,15998
4,1,16,22,19411
5,1,16,22,19411
6,1,16,22,19411
1,1,17,37,24430
2,1,17,37,24430
3,1,17,37,24430
4,1,17,33,29642
5,1,17,33,29642
6,1,17,33,29642
1,1,18,76,50656
2,1,18,76,50656
3,1,18,76,50656
4,1,18,69,61463
5,1,18,69,61463
6,1,18,69,61463
1,1,19,31,20752
2,1,19,31,20752
3,1,19,31,20752
4,1,19,28,25179
5,1,19,28,25179
6,1,19,28,25179
1,1,20,107,71686
2,1,20,107,71686
3,1,20,107,71686
4,1,20,97,86980
5,1,20,97,86980
6,1,20,97,86980
1,1,21,109,73091
2,1,21,109,73091
3,1,21,109,73091
4,1,21,99,88685
5,1,21,99,88685
6,1,21,99,88685
1,1,22,23,15670
2,1,22,23,15670
3,1,22,23,15670
4,1,22,21,19013
5,1,22,21,19013
6,1,22,21,19013
1,1,23,21,14353
2,1,23,21,14353
3,1,23,21,14353
4,1,23,19,17415
5,1,23,19,17415
6,1,23,19,17415
1,1,24,23,15670
2,1,24,23,15670
3,1,24,23,15670
4,1,24,21,19013
5,1,24,21,19013
6,1,24,21,19013
1,1,25,110,73754
2,1,25,110,73754
3,1,25,110,73754
4,1,25,100,89490
5,1,25,100,89490
6,1,25,100,89490
1,1,26,30,20048
2,1,26,30,20048
3,1,26,30,20048
4,1,26,27,24325
5,1,26,27,24325
6,1,26,27,24325
1,1,27,42,28014
2,1,27,42,28014
3,1,27,42,28014
4,1,27,38,33991
5,1,27,38,33991
6,1,27,38,33991
1,1,28,50,33292
2,1,28,50,33292
3,1,28,50,33292
4,1,28,45,40395
5,1,28,45,40395
6,1,28,45,40395
1,1,29,163,108894
2,1,29,163,108894
3,1,29,163,108894
4,1,29,148,132127
5,1,29,148,132127
6,1,29,148,132127
1,1,30,79,52534
2,1,30,79,52534
3,1,30,79,52534
4,1,30,71,63742
5,1,30,71,63742
6,1,30,71,63742
1,1,31,89,59593
2,1,31,89,59593
3,1,31,89,59593
4,1,31,81,72307
5,1,31,81,72307
6,1,31,81,72307
1,1,32,8,5677
2,1,32,8,5677
3,1,32,8,5677
4,1,32,8,6888
5,1,32,8,6888
6,1,32,8,6888
1,1,33,127,85223
2,1,33,127,85223
3,1,33,127,85223
4,1,33,116,103406
5,1,33,116,103406
6,1,33,116,103406
1,1,34,203,135660
2,1,34,203,135660
3,1,34,203,135660
4,1,34,184,164603
5,1,34,184,164603
6,1,34,184,164603
1,1,35,246,164664
2,1,35,246,164664
3,1,35,246,164664
4,1,35,224,199794
5,1,35,224,199794
6,1,35,224,199794
1,1,36,199,133455
2,1,36,199,133455
3,1,36,199,133455
4,1,36,181,161927
5,1,36,181,161927
6,1,36,181,161927
1,1,37,266,178042
2,1,37,266,178042
3,1,37,266,178042
4,1,37,242,216027
5,1,37,242,216027
6,1,37,242,216027
1,1,38,260,173692
2,1,38,260,173692
3,1,38,260,173692
4,1,38,236,210749
5,1,38,236,210749
6,1,38,236,210749
1,1,39,201,134513
2,1,39,201,134513
3,1,39,201,134513
4,1,39,183,163211
5,1,39,183,163211
6,1,39,183,163211
1,2,1,80,53272
2,2,1,80,53272
3,2,1,80,53272
4,2,1,72,64637
5,2,1,72,64637
6,2,1,72,64637
1,2,2,0,0
2,2,2,0,0
3,2,2,0,0
4,2,2,0,0
5,2,2,0,0
6,2,2,0,0
1,2,3,62,41641
2,2,3,62,41641
3,2,3,62,41641
4,2,3,57,50525
5,2,3,57,50525
6,2,3,57,50525
1,2,4,92,61231
2,2,4,92,61231
3,2,4,92,61231
4,2,4,83,74294
5,2,4,83,74294
6,2,4,83,74294
1,2,5,57,38234
2,2,5,57,38234
3,2,5,57,38234
4,2,5,52,46391
5,2,5,52,46391
6,2,5,52,46391
1,2,6,61,40763
2,2,6,61,40763
3,2,6,61,40763
4,2,6,55,49459
5,2,6,55,49459
6,2,6,55,49459
1,2,7,57,38054
2,2,7,57,38054
3,2,7,57,38054
4,2,7,52,46173
5,2,7,52,46173
6,2,7,52,46173
1,2,8,83,55520
2,2,8,83,55520
3,2,8,83,55520
4,2,8,75,67365
5,2,8,75,67365
6,2,8,75,67365
1,2,9,134,89369
2,2,9,134,89369
3,2,9,134,89369
4,2,9,121,108436
5,2,9,121,108436
6,2,9,121,108436
1,2,10,72,47892
2,2,10,72,47892
3,2,10,72,47892
4,2,10,65,58110
5,2,10,65,58110
6,2,10,65,58110
1,2,11,64,43098
2,2,11,64,43098
3,2,11,64,43098
4,2,11,59,52293
5,2,11,59,52293
6,2,11,59,52293
1,2,12,15,10346
2,2,12,15,10346
3,2,12,15,10346
4,2,12,14,12553
5,2,12,14,12553
6,2,12,14,12553
