#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 1 (=SHORTSEA)
# Vessel types: 1,2
# Vessel count: 7,6
# Number of cargoes: 17
# Cargo sizes: 4
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 5 (out of 5)
#----------------------------------------------------------------

# number of ports
39
# number of vessels
13
# for each vessel: vessel index, home port, starting time, capacity
1,8,70,100
2,13,0,100
3,31,227,100
4,14,0,100
5,12,199,100
6,12,119,100
7,27,231,100
8,38,0,100
9,19,0,100
10,17,103,100
11,24,0,100
12,32,107,100
13,9,0,100
# number of cargoes
17
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,3,4,6,7,9,10,11,12,13,15,17
2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,1,3,4,6,7,10
4,1,2,3,4,5,6,7,9,10,11,12,13,15,16,17
5,1,2,3,4,6,7,10,12
6,1,2,3,4,6,7,10,12,15,17
7,1,2,3,4,7,10
8,1,2,3,4,5,6,7,8,10,12,17
9,1,2,3,4,6,7,9,10,11,12,13,15,17
10,1,2,3,4,6,7,9,10,11,12,15
11,1,2,3,4,6,7,9,10,11,12,13,15,17
12,1,2,3,4,6,7,9,10,12,13,15,17
13,1,2,3,4,6,7,9,10,11,12,13,15,17
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,11,27,100,534908,610,682,610,1178
2,27,3,100,490009,243,315,243,666
3,33,37,100,613154,630,702,630,1179
4,10,38,100,520665,356,428,356,874
5,4,38,100,626432,53,125,53,521
6,33,36,100,385077,207,279,207,693
7,23,20,100,479647,336,408,336,817
8,34,18,100,653807,64,136,64,708
9,16,36,100,637785,84,156,84,615
10,2,39,100,563562,276,348,276,773
11,17,35,100,948427,38,110,38,669
12,14,20,100,395116,189,261,189,635
13,6,17,100,409054,63,135,63,534
14,11,27,100,535913,0,72,0,522
15,3,27,100,458187,96,168,96,517
16,29,36,100,628227,64,136,64,594
17,31,36,100,504155,116,188,116,587
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
7,1,1,0,0
8,1,1,0,0
9,1,1,0,0
10,1,1,0,0
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
1,1,2,71,48031
2,1,2,71,48031
3,1,2,71,48031
4,1,2,71,48031
5,1,2,71,48031
6,1,2,71,48031
7,1,2,71,48031
8,1,2,66,38871
9,1,2,66,38871
10,1,2,66,38871
11,1,2,66,38871
12,1,2,66,38871
13,1,2,66,38871
1,1,3,19,12930
2,1,3,19,12930
3,1,3,19,12930
4,1,3,19,12930
5,1,3,19,12930
6,1,3,19,12930
7,1,3,19,12930
8,1,3,18,10464
9,1,3,18,10464
10,1,3,18,10464
11,1,3,18,10464
12,1,3,18,10464
13,1,3,18,10464
1,1,4,134,90788
2,1,4,134,90788
3,1,4,134,90788
4,1,4,134,90788
5,1,4,134,90788
6,1,4,134,90788
7,1,4,134,90788
8,1,4,125,73474
9,1,4,125,73474
10,1,4,125,73474
11,1,4,125,73474
12,1,4,125,73474
13,1,4,125,73474
1,1,5,66,45000
2,1,5,66,45000
3,1,5,66,45000
4,1,5,66,45000
5,1,5,66,45000
6,1,5,66,45000
7,1,5,66,45000
8,1,5,62,36418
9,1,5,62,36418
10,1,5,62,36418
11,1,5,62,36418
12,1,5,62,36418
13,1,5,62,36418
1,1,6,23,15911
2,1,6,23,15911
3,1,6,23,15911
4,1,6,23,15911
5,1,6,23,15911
6,1,6,23,15911
7,1,6,23,15911
8,1,6,22,12877
9,1,6,22,12877
10,1,6,22,12877
11,1,6,22,12877
12,1,6,22,12877
13,1,6,22,12877
1,1,7,21,14445
2,1,7,21,14445
3,1,7,21,14445
4,1,7,21,14445
5,1,7,21,14445
6,1,7,21,14445
7,1,7,21,14445
8,1,7,20,11690
9,1,7,20,11690
10,1,7,20,11690
11,1,7,20,11690
12,1,7,20,11690
13,1,7,20,11690
1,1,8,8,5106
2,1,8,8,5106
3,1,8,8,5106
4,1,8,8,5106
5,1,8,8,5106
6,1,8,8,5106
7,1,8,8,5106
8,1,8,7,4132
9,1,8,7,4132
10,1,8,7,4132
11,1,8,7,4132
12,1,8,7,4132
13,1,8,7,4132
1,1,9,52,35625
2,1,9,52,35625
3,1,9,52,35625
4,1,9,52,35625
5,1,9,52,35625
6,1,9,52,35625
7,1,9,52,35625
8,1,9,49,28831
9,1,9,49,28831
10,1,9,49,28831
11,1,9,49,28831
12,1,9,49,28831
13,1,9,49,28831
1,1,10,116,78762
2,1,10,116,78762
3,1,10,116,78762
4,1,10,116,78762
5,1,10,116,78762
6,1,10,116,78762
7,1,10,116,78762
8,1,10,108,63741
9,1,10,108,63741
10,1,10,108,63741
11,1,10,108,63741
12,1,10,108,63741
13,1,10,108,63741
1,1,11,110,74439
2,1,11,110,74439
3,1,11,110,74439
4,1,11,110,74439
5,1,11,110,74439
6,1,11,110,74439
7,1,11,110,74439
8,1,11,102,60243
9,1,11,102,60243
10,1,11,102,60243
11,1,11,102,60243
12,1,11,102,60243
13,1,11,102,60243
1,1,12,63,42752
2,1,12,63,42752
3,1,12,63,42752
4,1,12,63,42752
5,1,12,63,42752
6,1,12,63,42752
7,1,12,63,42752
8,1,12,59,34599
9,1,12,59,34599
10,1,12,59,34599
11,1,12,59,34599
12,1,12,59,34599
13,1,12,59,34599
1,1,13,58,39524
2,1,13,58,39524
3,1,13,58,39524
4,1,13,58,39524
5,1,13,58,39524
6,1,13,58,39524
7,1,13,58,39524
8,1,13,54,31987
9,1,13,54,31987
10,1,13,54,31987
11,1,13,54,31987
12,1,13,54,31987
13,1,13,54,31987
1,1,14,24,16035
2,1,14,24,16035
3,1,14,24,16035
4,1,14,24,16035
5,1,14,24,16035
6,1,14,24,16035
7,1,14,24,16035
8,1,14,22,12977
9,1,14,22,12977
10,1,14,22,12977
11,1,14,22,12977
12,1,14,22,12977
13,1,14,22,12977
1,1,15,28,18784
2,1,15,28,18784
3,1,15,28,18784
4,1,15,28,18784
5,1,15,28,18784
6,1,15,28,18784
7,1,15,28,18784
8,1,15,26,15202
9,1,15,26,15202
10,1,15,26,15202
11,1,15,26,15202
12,1,15,26,15202
13,1,15,26,15202
1,1,16,21,14424
2,1,16,21,14424
3,1,16,21,14424
4,1,16,21,14424
5,1,16,21,14424
6,1,16,21,14424
7,1,16,21,14424
8,1,16,20,11673
9,1,16,20,11673
10,1,16,20,11673
11,1,16,20,11673
12,1,16,20,11673
13,1,16,20,11673
1,1,17,32,22026
2,1,17,32,22026
3,1,17,32,22026
4,1,17,32,22026
5,1,17,32,22026
6,1,17,32,22026
7,1,17,32,22026
8,1,17,30,17826
9,1,17,30,17826
10,1,17,30,17826
11,1,17,30,17826
12,1,17,30,17826
13,1,17,30,17826
1,1,18,67,45672
2,1,18,67,45672
3,1,18,67,45672
4,1,18,67,45672
5,1,18,67,45672
6,1,18,67,45672
7,1,18,67,45672
8,1,18,63,36963
9,1,18,63,36963
10,1,18,63,36963
11,1,18,63,36963
12,1,18,63,36963
13,1,18,63,36963
1,1,19,28,18710
2,1,19,28,18710
3,1,19,28,18710
4,1,19,28,18710
5,1,19,28,18710
6,1,19,28,18710
7,1,19,28,18710
8,1,19,26,15142
9,1,19,26,15142
10,1,19,26,15142
11,1,19,26,15142
12,1,19,26,15142
13,1,19,26,15142
1,1,20,95,64634
2,1,20,95,64634
3,1,20,95,64634
4,1,20,95,64634
5,1,20,95,64634
6,1,20,95,64634
7,1,20,95,64634
8,1,20,89,52308
9,1,20,89,52308
10,1,20,89,52308
11,1,20,89,52308
12,1,20,89,52308
13,1,20,89,52308
1,1,21,97,65901
2,1,21,97,65901
3,1,21,97,65901
4,1,21,97,65901
5,1,21,97,65901
6,1,21,97,65901
7,1,21,97,65901
8,1,21,90,53333
9,1,21,90,53333
10,1,21,90,53333
11,1,21,90,53333
12,1,21,90,53333
13,1,21,90,53333
1,1,22,21,14128
2,1,22,21,14128
3,1,22,21,14128
4,1,22,21,14128
5,1,22,21,14128
6,1,22,21,14128
7,1,22,21,14128
8,1,22,19,11434
9,1,22,19,11434
10,1,22,19,11434
11,1,22,19,11434
12,1,22,19,11434
13,1,22,19,11434
1,1,23,19,12941
2,1,23,19,12941
