#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 1 (=SHORTSEA)
# Vessel types: 6,7
# Vessel count: 7,6
# Number of cargoes: 35
# Cargo sizes: 4
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 3 (out of 5)
#----------------------------------------------------------------

# number of ports
39
# number of vessels
13
# for each vessel: vessel index, home port, starting time, capacity
1,8,90,100
2,13,0,100
3,31,0,100
4,14,0,100
5,12,235,100
6,12,0,100
7,27,99,100
8,38,108,100
9,19,0,100
10,17,0,100
11,24,98,100
12,32,71,100
13,9,22,100
# number of cargoes
35
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,4,5,6,7,8,9,11,13,14,16,18,20,21,24,25,26,27,28,30,31,32,33,34,35
2,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35
3,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,24,25,26,27,28,29,30,31,32,33,34,35
4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
5,1,2,5,6,7,8,9,11,13,16,18,21,25,27,28,30,31,33,34,35
6,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35
7,1,2,4,5,6,7,8,9,11,13,14,16,18,20,21,24,25,26,27,28,30,31,33,34,35
8,1,2,4,5,6,7,8,9,11,13,16,18,21,25,26,27,28,30,31,32,34,35
9,1,2,4,5,6,7,8,9,11,12,13,14,15,16,18,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35
10,1,2,4,5,6,7,8,9,11,12,13,14,15,16,18,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35
11,1,2,4,5,6,7,8,9,11,13,14,16,18,20,21,24,25,26,27,28,30,31,32,33,34,35
12,1,2,4,5,6,7,8,9,11,13,14,15,16,18,20,21,24,25,26,27,28,30,31,32,33,34,35
13,1,2,4,5,6,7,8,9,11,12,13,14,16,18,20,21,23,24,25,26,27,28,30,31,32,33,34,35
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,26,25,100,245380,560,632,560,989
2,10,36,100,234887,680,752,680,1122
3,31,35,100,285131,0,72,0,507
4,29,34,100,303368,219,291,219,743
5,17,35,100,575251,554,626,554,1169
6,31,37,100,328996,490,562,490,1011
7,32,27,100,227878,430,502,430,821
8,31,34,100,301096,765,837,765,1225
9,31,27,100,326043,594,666,594,1065
10,2,38,100,356453,0,72,0,545
11,11,35,100,286185,415,487,415,937
12,17,37,100,372724,0,72,0,637
13,25,9,100,348192,636,708,636,1142
14,18,11,100,457792,150,222,150,713
15,15,21,100,250565,28,100,28,516
16,11,19,100,326474,357,429,357,830
17,13,5,100,214778,0,72,0,409
18,33,34,100,216042,1020,1092,1020,1453
19,30,39,100,323993,0,72,0,491
20,22,27,100,202437,130,202,130,532
21,19,32,100,351735,525,597,525,959
22,19,27,100,244591,20,92,20,425
23,17,35,100,411817,0,72,0,628
24,28,24,100,246784,169,241,169,614
25,25,24,100,289849,235,307,235,705
26,10,37,100,407532,219,291,219,732
27,22,36,100,407095,840,912,840,1392
28,19,34,100,337054,349,421,349,906
29,30,18,100,394956,0,72,0,475
30,4,9,100,473553,451,523,451,1042
31,27,16,100,201423,402,474,402,813
32,35,20,100,374340,280,352,280,765
33,16,17,100,177134,232,304,232,676
34,17,27,100,187528,472,544,472,838
35,30,39,100,350219,264,336,264,746
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
7,1,1,0,0
8,1,1,0,0
9,1,1,0,0
10,1,1,0,0
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
1,1,2,73,18065
2,1,2,73,18065
3,1,2,73,18065
4,1,2,73,18065
5,1,2,73,18065
6,1,2,73,18065
7,1,2,73,18065
8,1,2,76,26303
9,1,2,76,26303
10,1,2,76,26303
11,1,2,76,26303
12,1,2,76,26303
13,1,2,76,26303
1,1,3,20,4863
2,1,3,20,4863
3,1,3,20,4863
4,1,3,20,4863
5,1,3,20,4863
6,1,3,20,4863
7,1,3,20,4863
8,1,3,21,7081
9,1,3,21,7081
10,1,3,21,7081
11,1,3,21,7081
12,1,3,21,7081
13,1,3,21,7081
1,1,4,139,34147
2,1,4,139,34147
3,1,4,139,34147
4,1,4,139,34147
5,1,4,139,34147
6,1,4,139,34147
7,1,4,139,34147
8,1,4,144,49718
9,1,4,144,49718
10,1,4,144,49718
11,1,4,144,49718
12,1,4,144,49718
13,1,4,144,49718
1,1,5,69,16925
2,1,5,69,16925
3,1,5,69,16925
4,1,5,69,16925
5,1,5,69,16925
6,1,5,69,16925
7,1,5,69,16925
8,1,5,72,24643
9,1,5,72,24643
10,1,5,72,24643
11,1,5,72,24643
12,1,5,72,24643
13,1,5,72,24643
1,1,6,24,5984
2,1,6,24,5984
3,1,6,24,5984
4,1,6,24,5984
5,1,6,24,5984
6,1,6,24,5984
7,1,6,24,5984
8,1,6,25,8713
9,1,6,25,8713
10,1,6,25,8713
11,1,6,25,8713
12,1,6,25,8713
13,1,6,25,8713
1,1,7,22,5433
2,1,7,22,5433
3,1,7,22,5433
4,1,7,22,5433
5,1,7,22,5433
6,1,7,22,5433
7,1,7,22,5433
8,1,7,23,7910
9,1,7,23,7910
10,1,7,23,7910
11,1,7,23,7910
12,1,7,23,7910
13,1,7,23,7910
1,1,8,8,1920
2,1,8,8,1920
3,1,8,8,1920
4,1,8,8,1920
5,1,8,8,1920
6,1,8,8,1920
7,1,8,8,1920
8,1,8,8,2796
9,1,8,8,2796
10,1,8,8,2796
11,1,8,8,2796
12,1,8,8,2796
13,1,8,8,2796
1,1,9,55,13399
2,1,9,55,13399
3,1,9,55,13399
4,1,9,55,13399
5,1,9,55,13399
6,1,9,55,13399
7,1,9,55,13399
8,1,9,57,19509
9,1,9,57,19509
10,1,9,57,19509
11,1,9,57,19509
12,1,9,57,19509
13,1,9,57,19509
1,1,10,121,29623
2,1,10,121,29623
3,1,10,121,29623
4,1,10,121,29623
5,1,10,121,29623
6,1,10,121,29623
7,1,10,121,29623
8,1,10,125,43132
9,1,10,125,43132
10,1,10,125,43132
11,1,10,125,43132
12,1,10,125,43132
13,1,10,125,43132
1,1,11,114,27998
2,1,11,114,27998
3,1,11,114,27998
4,1,11,114,27998
5,1,11,114,27998
6,1,11,114,27998
7,1,11,114,27998
8,1,11,118,40765
9,1,11,118,40765
10,1,11,118,40765
11,1,11,118,40765
12,1,11,118,40765
13,1,11,118,40765
1,1,12,65,16080
2,1,12,65,16080
3,1,12,65,16080
4,1,12,65,16080
5,1,12,65,16080
6,1,12,65,16080
7,1,12,65,16080
8,1,12,68,23412
9,1,12,68,23412
10,1,12,68,23412
11,1,12,68,23412
12,1,12,68,23412
13,1,12,68,23412
1,1,13,60,14866
2,1,13,60,14866
3,1,13,60,14866
4,1,13,60,14866
5,1,13,60,14866
6,1,13,60,14866
7,1,13,60,14866
8,1,13,63,21645
9,1,13,63,21645
10,1,13,63,21645
11,1,13,63,21645
12,1,13,63,21645
13,1,13,63,21645
1,1,14,25,6031
2,1,14,25,6031
3,1,14,25,6031
4,1,14,25,6031
5,1,14,25,6031
6,1,14,25,6031
7,1,14,25,6031
8,1,14,26,8781
9,1,14,26,8781
10,1,14,26,8781
11,1,14,26,8781
12,1,14,26,8781
13,1,14,26,8781
1,1,15,29,7065
2,1,15,29,7065
3,1,15,29,7065
4,1,15,29,7065
5,1,15,29,7065
6,1,15,29,7065
7,1,15,29,7065
8,1,15,30,10287
9,1,15,30,10287
10,1,15,30,10287
11,1,15,30,10287
12,1,15,30,10287
13,1,15,30,10287
1,1,16,22,5425
2,1,16,22,5425
3,1,16,22,5425
4,1,16,22,5425
5,1,16,22,5425
6,1,16,22,5425
7,1,16,22,5425
8,1,16,23,7899
9,1,16,23,7899
10,1,16,23,7899
11,1,16,23,7899
12,1,16,23,7899
13,1,16,23,7899
1,1,17,34,8284
2,1,17,34,8284
3,1,17,34,8284
4,1,17,34,8284
5,1,17,34,8284
6,1,17,34,8284
7,1,17,34,8284
8,1,17,35,12062
