#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 1 (=SHORTSEA)
# Vessel types: 2,3
# Vessel count: 15,15
# Number of cargoes: 70
# Cargo sizes: 4
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 5 (out of 5)
#----------------------------------------------------------------

# number of ports
39
# number of vessels
30
# for each vessel: vessel index, home port, starting time, capacity
1,8,53,100
2,13,70,100
3,31,78,100
4,14,0,100
5,12,0,100
6,12,0,100
7,27,0,100
8,38,47,100
9,19,0,100
10,17,47,100
11,24,113,100
12,32,0,100
13,9,185,100
14,31,80,100
15,16,0,100
16,22,217,100
17,19,45,100
18,3,56,100
19,37,150,100
20,20,218,100
21,20,209,100
22,28,0,100
23,36,0,100
24,24,100,100
25,6,21,100
26,27,284,100
27,4,0,100
28,30,0,100
29,34,0,100
30,37,0,100
# number of cargoes
70
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,3,4,7,9,10,11,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,64,65,68,70
2,1,3,4,9,10,11,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,64,65,66,68,70
3,1,3,4,8,9,10,11,13,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,57,59,60,62,63,64,65,66,68,70
4,1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,57,58,59,60,62,63,64,65,66,67,68,69,70
5,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
6,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
7,1,2,3,4,7,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,59,60,62,63,64,65,66,67,68,70
8,1,3,4,8,10,13,16,17,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,59,60,62,64,68,70
9,1,2,3,4,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,59,60,62,63,64,65,66,67,68,70
10,1,2,3,4,7,9,10,11,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,59,60,62,63,65,68,70
11,1,3,4,10,11,13,16,17,18,19,20,21,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,60,62,63,68,70
12,1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,57,58,59,60,62,63,64,65,66,67,68,69,70
13,1,3,4,10,11,13,16,19,20,21,23,24,26,27,29,30,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,60,62,63,68,70
14,1,3,4,8,9,10,11,13,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,64,65,66,68,70
15,1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,57,58,59,60,62,63,64,65,66,67,68,69,70
16,1,3,4,10,13,16,19,20,21,23,24,26,27,29,30,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,60,62,63,68,70
17,1,3,4,9,10,11,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,65,67,68,70
18,1,3,4,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,65,68,70
19,1,3,4,10,13,16,19,20,21,23,24,26,27,29,32,33,35,36,38,41,44,45,46,47,49,50,51,52,54,56,60,62,68,70
20,1,3,4,10,13,16,17,19,20,21,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,60,62,68,70
21,1,3,4,10,13,16,17,19,20,21,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,60,62,68,70
22,1,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,54,56,57,58,59,60,62,63,64,65,66,67,68,69,70
23,1,3,4,5,8,10,13,16,17,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,53,54,55,56,57,59,60,62,63,64,66,68,70
24,1,3,4,10,11,13,16,17,18,19,20,21,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,60,62,63,65,68,70
25,1,3,4,7,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,64,65,66,67,68,70
26,1,3,4,10,13,16,20,21,23,24,26,27,29,30,32,33,35,36,38,41,43,44,46,47,49,50,52,56,60,62,68,70
27,1,3,4,5,6,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,41,43,44,45,46,47,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,68,69,70
28,1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70
29,1,3,4,5,8,10,13,16,17,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,57,59,60,62,63,64,66,68,70
30,1,3,4,5,8,10,13,16,17,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,59,60,62,64,68,70
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,11,27,100,507812,814,886,814,1333
2,27,3,100,421061,0,72,0,426
3,33,37,100,498376,783,855,783,1278
4,10,38,100,712690,624,696,624,1165
5,4,38,100,476104,57,129,57,545
6,33,36,100,415927,0,72,0,475
7,23,20,100,464426,0,72,0,479
8,34,18,100,681107,121,193,121,765
9,16,36,100,562535,68,140,68,612
10,2,39,100,628252,978,1050,978,1471
11,17,35,100,979544,144,216,144,800
12,14,20,100,343356,0,72,0,476
13,6,17,100,692095,517,589,517,938
14,11,27,100,642457,0,72,0,548
15,3,27,100,361137,45,117,45,476
16,29,36,100,702727,486,558,486,1056
17,31,36,100,605336,210,282,210,746
18,19,4,100,724067,110,182,110,721
19,33,37,100,644344,354,426,354,937
20,9,11,100,483515,480,552,480,1080
21,29,9,100,669348,962,1034,962,1595
22,33,35,100,656239,154,226,154,672
23,35,1,100,775820,504,576,504,1150
24,29,7,100,513471,696,768,696,1261
25,11,27,100,547171,0,72,0,553
26,30,27,100,523982,814,886,814,1320
27,23,37,100,710544,711,783,711,1384
28,17,32,100,637805,0,72,0,458
29,12,9,100,641237,642,714,642,1208
30,17,34,100,570017,350,422,350,1031
31,11,35,100,486910,174,246,174,705
32,2,35,100,763428,852,924,852,1382
33,11,39,100,380316,536,608,536,977
34,24,13,100,316936,0,72,0,458
35,29,38,100,698259,478,550,478,1027
36,33,38,100,653538,502,574,502,1038
37,12,22,100,333340,285,357,285,777
38,31,27,100,446345,782,854,782,1277
39,21,13,100,452780,0,72,0,422
40,8,39,100,860033,81,153,81,672
41,4,34,100,446359,649,721,649,1085
42,19,6,100,468198,90,162,90,502
43,8,17,100,334718,300,372,300,721
44,23,6,100,265932,456,528,456,874
45,4,35,100,693128,373,445,373,845
46,33,39,100,418278,888,960,888,1382
47,10,36,100,380316,561,633,561,1056
48,17,37,100,947819,0,72,0,705
49,17,27,100,672195,1012,1084,1012,1463
50,10,37,100,590460,846,918,846,1397
51,29,27,100,843295,378,450,378,976
52,10,37,100,484313,531,603,531,1097
53,10,37,100,517183,0,72,0,547
54,4,34,100,316498,354,426,354,823
55,10,34,100,615903,0,72,0,467
56,5,16,100,281839,500,572,500,972
57,11,35,100,511091,37,109,37,605
58,2,27,100,398147,0,72,0,549
59,10,37,100,577728,135,207,135,677
60,29,35,100,514341,961,1033,961,1546
61,33,34,100,481628,0,72,0,444
62,2,36,100,548728,459,531,459,958
63,23,5,100,357422,180,252,180,684
64,33,27,100,577763,93,165,93,651
65,7,39,100,613482,74,146,74,614
66,20,29,100,384601,50,122,50,512
67,19,33,100,491051,0,72,0,531
68,32,3,100,313879,594,666,594,1003
69,20,13,100,330836,17,89,17,438
70,29,27,100,849008,495,567,495,1093
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
7,1,1,0,0
8,1,1,0,0
9,1,1,0,0
10,1,1,0,0
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
14,1,1,0,0
15,1,1,0,0
16,1,1,0,0
17,1,1,0,0
18,1,1,0,0
19,1,1,0,0
20,1,1,0,0
21,1,1,0,0
22,1,1,0,0
23,1,1,0,0
24,1,1,0,0
25,1,1,0,0
26,1,1,0,0
27,1,1,0,0
28,1,1,0,0
29,1,1,0,0
30,1,1,0,0
1,1,2,66,38871
2,1,2,66,38871
3,1,2,66,38871
4,1,2,66,38871
5,1,2,66,38871
6,1,2,66,38871
7,1,2,66,38871
8,1,2,66,38871
9,1,2,66,38871
10,1,2,66,38871
11,1,2,66,38871
12,1,2,66,38871
13,1,2,66,38871
14,1,2,66,38871
15,1,2,66,38871
16,1,2,80,53272
17,1,2,80,53272
18,1,2,80,53272
19,1,2,80,53272
20,1,2,80,53272
21,1,2,80,53272
22,1,2,80,53272
23,1,2,80,53272
24,1,2,80,53272
25,1,2,80,53272
26,1,2,80,53272
27,1,2,80,53272
28,1,2,80,53272
29,1,2,80,53272
30,1,2,80,53272
1,1,3,18,10464
2,1,3,18,10464
3,1,3,18,10464
4,1,3,18,10464
5,1,3,18,10464
6,1,3,18,10464
7,1,3,18,10464
8,1,3,18,10464
9,1,3,18,10464
10,1,3,18,10464
11,1,3,18,10464
12,1,3,18,10464
13,1,3,18,10464
14,1,3,18,10464
15,1,3,18,10464
16,1,3,21,14341
17,1,3,21,14341
18,1,3,21,14341
19,1,3,21,14341
20,1,3,21,14341
21,1,3,21,14341
22,1,3,21,14341
23,1,3,21,14341
24,1,3,21,14341
25,1,3,21,14341
26,1,3,21,14341
27,1,3,21,14341
28,1,3,21,14341
29,1,3,21,14341
30,1,3,21,14341
1,1,4,125,73474
2,1,4,125,73474
3,1,4,125,73474
4,1,4,125,73474
5,1,4,125,73474
6,1,4,125,73474
7,1,4,125,73474
8,1,4,125,73474
9,1,4,125,73474
10,1,4,125,73474
11,1,4,125,73474
12,1,4,125,73474
13,1,4,125,73474
14,1,4,125,73474
15,1,4,125,73474
16,1,4,150,100694
17,1,4,150,100694
18,1,4,150,100694
19,1,4,150,100694
20,1,4,150,100694
21,1,4,150,100694
22,1,4,150,100694
23,1,4,150,100694
24,1,4,150,100694
25,1,4,150,100694
26,1,4,150,100694
27,1,4,150,100694
28,1,4,150,100694
29,1,4,150,100694
30,1,4,150,100694
1,1,5,62,36418
2,1,5,62,36418
3,1,5,62,36418
4,1,5,62,36418
5,1,5,62,36418
6,1,5,62,36418
7,1,5,62,36418
8,1,5,62,36418
9,1,5,62,36418
10,1,5,62,36418
11,1,5,62,36418
12,1,5,62,36418
13,1,5,62,36418
14,1,5,62,36418
15,1,5,62,36418
16,1,5,75,49910
17,1,5,75,49910
18,1,5,75,49910
19,1,5,75,49910
20,1,5,75,49910
21,1,5,75,49910
22,1,5,75,49910
23,1,5,75,49910
24,1,5,75,49910
25,1,5,75,49910
26,1,5,75,49910
27,1,5,75,49910
28,1,5,75,49910
29,1,5,75,49910
30,1,5,75,49910
1,1,6,22,12877
2,1,6,22,12877
3,1,6,22,12877
4,1,6,22,12877
5,1,6,22,12877
6,1,6,22,12877
7,1,6,22,12877
8,1,6,22,12877
9,1,6,22,12877
10,1,6,22,12877
11,1,6,22,12877
12,1,6,22,12877
13,1,6,22,12877
14,1,6,22,12877
15,1,6,22,12877
16,1,6,26,17647
17,1,6,26,17647
18,1,6,26,17647
19,1,6,26,17647
20,1,6,26,17647
21,1,6,26,17647
22,1,6,26,17647
23,1,6,26,17647
24,1,6,26,17647
25,1,6,26,17647
26,1,6,26,17647
27,1,6,26,17647
28,1,6,26,17647
29,1,6,26,17647
30,1,6,26,17647
1,1,7,20,11690
2,1,7,20,11690
3,1,7,20,11690
4,1,7,20,11690
5,1,7,20,11690
6,1,7,20,11690
7,1,7,20,11690
8,1,7,20,11690
9,1,7,20,11690
10,1,7,20,11690
11,1,7,20,11690
12,1,7,20,11690
13,1,7,20,11690
14,1,7,20,11690
15,1,7,20,11690
16,1,7,24,16021
17,1,7,24,16021
18,1,7,24,16021
19,1,7,24,16021
20,1,7,24,16021
21,1,7,24,16021
22,1,7,24,16021
23,1,7,24,16021
24,1,7,24,16021
25,1,7,24,16021
26,1,7,24,16021
27,1,7,24,16021
