#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 1 (=SHORTSEA)
# Vessel types: 1,5,6,7
# Vessel count: 3,4,3,3
# Number of cargoes: 23
# Cargo sizes: 2
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 3 (out of 5)
#----------------------------------------------------------------

# number of ports
39
# number of vessels
13
# for each vessel: vessel index, home port, starting time, capacity
1,8,21,13200
2,13,137,13200
3,31,0,13200
4,14,0,5800
5,12,75,5800
6,12,0,5800
7,27,55,5800
8,38,0,2950
9,19,90,2950
10,17,32,2950
11,24,70,3570
12,32,0,3570
13,9,143,3570
# number of cargoes
23
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,5,6,7,8,9,10,12,13,14,15,16,17,20,21,22,23
2,5,6,7,8,9,10,12,13,16,21
3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22
4,1,3,5,6,7,8,9,10,12,13,14,15,16,17,19,20,21,22,23
5,5,6,7,8,9,10,12,13,15,16,17,21
6,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22
7,5,6,7,8,9,10,12,13,15,16,21,22,23
8,6,8,9,10,13,16,21
9,5,6,8,9,10,13,14,16,21,22
10,5,6,8,9,10,13,14,16,21,22,23
11,5,6,8,9,10,13,16,21,22
12,5,6,8,9,10,13,14,16,17,21,22,23
13,5,6,8,9,10,16,21
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,26,25,3716,337268,33,105,33,497
2,10,36,1499,269975,0,72,0,443
3,31,35,5741,333759,0,72,0,694
4,29,34,1729,356926,0,72,0,507
5,17,35,2808,566029,159,231,159,832
6,31,37,2836,713124,351,423,351,859
7,32,27,5495,551326,174,246,174,617
8,31,34,923,357954,478,550,478,927
9,31,27,2435,381537,361,433,361,824
10,2,38,2418,431499,583,655,583,1127
11,11,35,5782,551356,0,72,0,464
12,17,37,5739,469847,241,313,241,944
13,25,9,1612,417086,199,271,199,736
14,18,11,2014,428890,64,136,64,609
15,15,21,5176,488240,74,146,74,565
16,11,19,1957,341691,356,428,356,856
17,13,5,3109,215475,33,105,33,436
18,33,34,891,236913,0,72,0,421
19,30,39,4559,625073,7,79,7,503
20,22,27,3781,219732,0,72,0,374
21,19,32,2006,215136,248,320,248,680
22,19,27,2362,309333,63,135,63,511
23,17,35,2553,858416,0,72,0,646
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
7,1,1,0,0
8,1,1,0,0
9,1,1,0,0
10,1,1,0,0
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
1,1,2,71,48031
2,1,2,71,48031
3,1,2,71,48031
4,1,2,71,24635
5,1,2,71,24635
6,1,2,71,24635
7,1,2,71,24635
8,1,2,73,18065
9,1,2,73,18065
10,1,2,73,18065
11,1,2,76,26303
12,1,2,76,26303
13,1,2,76,26303
1,1,3,19,12930
2,1,3,19,12930
3,1,3,19,12930
4,1,3,19,6632
5,1,3,19,6632
6,1,3,19,6632
7,1,3,19,6632
8,1,3,20,4863
9,1,3,20,4863
10,1,3,20,4863
11,1,3,21,7081
12,1,3,21,7081
13,1,3,21,7081
1,1,4,134,90788
2,1,4,134,90788
3,1,4,134,90788
4,1,4,134,46564
5,1,4,134,46564
6,1,4,134,46564
7,1,4,134,46564
8,1,4,139,34147
9,1,4,139,34147
10,1,4,139,34147
11,1,4,144,49718
12,1,4,144,49718
13,1,4,144,49718
1,1,5,66,45000
2,1,5,66,45000
3,1,5,66,45000
4,1,5,66,23080
5,1,5,66,23080
6,1,5,66,23080
7,1,5,66,23080
8,1,5,69,16925
9,1,5,69,16925
10,1,5,69,16925
11,1,5,72,24643
12,1,5,72,24643
13,1,5,72,24643
1,1,6,23,15911
2,1,6,23,15911
3,1,6,23,15911
4,1,6,23,8161
5,1,6,23,8161
6,1,6,23,8161
7,1,6,23,8161
8,1,6,24,5984
9,1,6,24,5984
10,1,6,24,5984
11,1,6,25,8713
12,1,6,25,8713
13,1,6,25,8713
1,1,7,21,14445
2,1,7,21,14445
3,1,7,21,14445
4,1,7,21,7409
5,1,7,21,7409
6,1,7,21,7409
7,1,7,21,7409
8,1,7,22,5433
9,1,7,22,5433
10,1,7,22,5433
11,1,7,23,7910
12,1,7,23,7910
13,1,7,23,7910
1,1,8,8,5106
2,1,8,8,5106
3,1,8,8,5106
4,1,8,8,2619
5,1,8,8,2619
6,1,8,8,2619
7,1,8,8,2619
8,1,8,8,1920
9,1,8,8,1920
10,1,8,8,1920
11,1,8,8,2796
12,1,8,8,2796
13,1,8,8,2796
1,1,9,52,35625
2,1,9,52,35625
3,1,9,52,35625
4,1,9,52,18272
5,1,9,52,18272
6,1,9,52,18272
7,1,9,52,18272
8,1,9,55,13399
9,1,9,55,13399
10,1,9,55,13399
11,1,9,57,19509
12,1,9,57,19509
13,1,9,57,19509
1,1,10,116,78762
2,1,10,116,78762
3,1,10,116,78762
4,1,10,116,40396
5,1,10,116,40396
6,1,10,116,40396
7,1,10,116,40396
8,1,10,121,29623
9,1,10,121,29623
10,1,10,121,29623
11,1,10,125,43132
12,1,10,125,43132
13,1,10,125,43132
1,1,11,110,74439
2,1,11,110,74439
3,1,11,110,74439
4,1,11,110,38179
5,1,11,110,38179
6,1,11,110,38179
7,1,11,110,38179
8,1,11,114,27998
9,1,11,114,27998
10,1,11,114,27998
11,1,11,118,40765
12,1,11,118,40765
13,1,11,118,40765
1,1,12,63,42752
2,1,12,63,42752
3,1,12,63,42752
4,1,12,63,21927
5,1,12,63,21927
6,1,12,63,21927
7,1,12,63,21927
8,1,12,65,16080
9,1,12,65,16080
10,1,12,65,16080
11,1,12,68,23412
12,1,12,68,23412
13,1,12,68,23412
1,1,13,58,39524
2,1,13,58,39524
3,1,13,58,39524
4,1,13,58,20272
5,1,13,58,20272
6,1,13,58,20272
7,1,13,58,20272
8,1,13,60,14866
9,1,13,60,14866
10,1,13,60,14866
11,1,13,63,21645
12,1,13,63,21645
13,1,13,63,21645
1,1,14,24,16035
2,1,14,24,16035
3,1,14,24,16035
4,1,14,24,8224
5,1,14,24,8224
6,1,14,24,8224
7,1,14,24,8224
8,1,14,25,6031
9,1,14,25,6031
10,1,14,25,6031
11,1,14,26,8781
12,1,14,26,8781
13,1,14,26,8781
1,1,15,28,18784
2,1,15,28,18784
3,1,15,28,18784
4,1,15,28,9634
5,1,15,28,9634
6,1,15,28,9634
7,1,15,28,9634
8,1,15,29,7065
9,1,15,29,7065
10,1,15,29,7065
11,1,15,30,10287
12,1,15,30,10287
13,1,15,30,10287
1,1,16,21,14424
2,1,16,21,14424
3,1,16,21,14424
4,1,16,21,7398
5,1,16,21,7398
6,1,16,21,7398
7,1,16,21,7398
8,1,16,22,5425
9,1,16,22,5425
10,1,16,22,5425
11,1,16,23,7899
12,1,16,23,7899
13,1,16,23,7899
1,1,17,32,22026
2,1,17,32,22026
3,1,17,32,22026
4,1,17,32,11297
5,1,17,32,11297
6,1,17,32,11297
7,1,17,32,11297
8,1,17,34,8284
9,1,17,34,8284
10,1,17,34,8284
11,1,17,35,12062
12,1,17,35,12062
13,1,17,35,12062
1,1,18,67,45672
2,1,18,67,45672
3,1,18,67,45672
4,1,18,67,23425
5,1,18,67,23425
6,1,18,67,23425
7,1,18,67,23425
8,1,18,70,17178
9,1,18,70,17178
10,1,18,70,17178
11,1,18,73,25011
12,1,18,73,25011
13,1,18,73,25011
1,1,19,28,18710
2,1,19,28,18710
3,1,19,28,18710
4,1,19,28,9596
5,1,19,28,9596
6,1,19,28,9596
7,1,19,28,9596
8,1,19,29,7037
9,1,19,29,7037
10,1,19,29,7037
11,1,19,30,10246
12,1,19,30,10246
13,1,19,30,10246
1,1,20,95,64634
2,1,20,95,64634
3,1,20,95,64634
4,1,20,95,33150
5,1,20,95,33150
6,1,20,95,33150
7,1,20,95,33150
8,1,20,99,24310
9,1,20,99,24310
10,1,20,99,24310
11,1,20,103,35395
12,1,20,103,35395
13,1,20,103,35395
1,1,21,97,65901
2,1,21,97,65901
3,1,21,97,65901
4,1,21,97,33800
5,1,21,97,33800
6,1,21,97,33800
7,1,21,97,33800
8,1,21,101,24786
9,1,21,101,24786
10,1,21,101,24786
