#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 1 (=SHORTSEA)
# Vessel types: 1,3
# Vessel count: 2,1
# Number of cargoes: 10
# Cargo sizes: 2
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 3 (out of 5)
#----------------------------------------------------------------

# number of ports
39
# number of vessels
3
# for each vessel: vessel index, home port, starting time, capacity
1,8,0,13200
2,13,110,13200
3,31,46,24000
# number of cargoes
10
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,4,5,6,8,9,10
2,2,4,5,6,8,9,10
3,2,3,4,5,6,7,8,9,10
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,26,25,9854,467649,27,99,27,519
2,10,36,3975,399306,547,619,547,1002
3,31,35,15224,695402,0,72,0,553
4,29,34,4587,529266,424,496,424,903
5,17,35,7448,797387,404,476,404,1062
6,31,37,7520,565377,424,496,424,1110
7,32,27,14572,703230,94,166,94,526
8,31,34,2447,658587,158,230,158,845
9,31,27,6458,570986,171,243,171,658
10,2,38,6412,849750,302,374,302,976
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
1,1,2,71,48031
2,1,2,71,48031
3,1,2,80,53272
1,1,3,19,12930
2,1,3,19,12930
3,1,3,21,14341
1,1,4,134,90788
2,1,4,134,90788
3,1,4,150,100694
1,1,5,66,45000
2,1,5,66,45000
3,1,5,75,49910
1,1,6,23,15911
2,1,6,23,15911
3,1,6,26,17647
1,1,7,21,14445
2,1,7,21,14445
3,1,7,24,16021
1,1,8,8,5106
2,1,8,8,5106
3,1,8,8,5663
1,1,9,52,35625
2,1,9,52,35625
3,1,9,59,39512
1,1,10,116,78762
2,1,10,116,78762
3,1,10,131,87356
1,1,11,110,74439
2,1,11,110,74439
3,1,11,123,82562
1,1,12,63,42752
2,1,12,63,42752
3,1,12,71,47417
1,1,13,58,39524
2,1,13,58,39524
3,1,13,66,43837
1,1,14,24,16035
2,1,14,24,16035
3,1,14,27,17784
1,1,15,28,18784
2,1,15,28,18784
3,1,15,31,20834
1,1,16,21,14424
2,1,16,21,14424
3,1,16,24,15998
1,1,17,32,22026
2,1,17,32,22026
3,1,17,37,24430
1,1,18,67,45672
2,1,18,67,45672
3,1,18,76,50656
1,1,19,28,18710
2,1,19,28,18710
3,1,19,31,20752
1,1,20,95,64634
2,1,20,95,64634
3,1,20,107,71686
1,1,21,97,65901
2,1,21,97,65901
3,1,21,109,73091
1,1,22,21,14128
2,1,22,21,14128
3,1,22,23,15670
1,1,23,19,12941
2,1,23,19,12941
3,1,23,21,14353
1,1,24,21,14128
2,1,24,21,14128
3,1,24,23,15670
1,1,25,98,66498
2,1,25,98,66498
3,1,25,110,73754
1,1,26,27,18076
2,1,26,27,18076
3,1,26,30,20048
1,1,27,37,25258
2,1,27,37,25258
3,1,27,42,28014
1,1,28,44,30017
2,1,28,44,30017
3,1,28,50,33292
1,1,29,145,98181
2,1,29,145,98181
3,1,29,163,108894
1,1,30,70,47366
2,1,30,70,47366
3,1,30,79,52534
1,1,31,79,53730
2,1,31,79,53730
3,1,31,89,59593
1,1,32,8,5119
2,1,32,8,5119
3,1,32,8,5677
1,1,33,113,76839
2,1,33,113,76839
3,1,33,127,85223
1,1,34,180,122314
2,1,34,180,122314
3,1,34,203,135660
1,1,35,219,148464
2,1,35,219,148464
3,1,35,246,164664
1,1,36,177,120325
2,1,36,177,120325
3,1,36,199,133455
1,1,37,237,160526
2,1,37,237,160526
3,1,37,266,178042
1,1,38,231,156604
2,1,38,231,156604
3,1,38,260,173692
1,1,39,179,121279
2,1,39,179,121279
3,1,39,201,134513
1,2,1,71,48031
2,2,1,71,48031
3,2,1,80,53272
1,2,2,0,0
2,2,2,0,0
3,2,2,0,0
1,2,3,55,37544
2,2,3,55,37544
3,2,3,62,41641
1,2,4,81,55207
2,2,4,81,55207
3,2,4,92,61231
1,2,5,51,34473
2,2,5,51,34473
3,2,5,57,38234
1,2,6,54,36752
2,2,6,54,36752
3,2,6,61,40763
1,2,7,51,34311
2,2,7,51,34311
3,2,7,57,38054
1,2,8,74,50058
2,2,8,74,50058
3,2,8,83,55520
1,2,9,119,80577
2,2,9,119,80577
3,2,9,134,89369
1,2,10,64,43181
2,2,10,64,43181
3,2,10,72,47892
1,2,11,57,38858
2,2,11,57,38858
3,2,11,64,43098
1,2,12,14,9328
2,2,12,14,9328
3,2,12,15,10346
1,2,13,18,12169
2,2,13,18,12169
3,2,13,20,13497
1,2,14,48,32497
2,2,14,48,32497
3,2,14,54,36043
1,2,15,66,44472
2,2,15,66,44472
3,2,15,74,49325
1,2,16,52,35265
2,2,16,52,35265
3,2,16,58,39113
1,2,17,99,66978
2,2,17,99,66978
3,2,17,111,74287
1,2,18,122,82897
2,2,18,122,82897
3,2,18,137,91942
1,2,19,83,56587
2,2,19,83,56587
3,2,19,94,62762
1,2,20,43,29053
2,2,20,43,29053
3,2,20,48,32223
1,2,21,45,30320
2,2,21,45,30320
3,2,21,50,33628
1,2,22,87,59080
2,2,22,87,59080
3,2,22,98,65527
1,2,23,85,57893
2,2,23,85,57893
3,2,23,96,64210
1,2,24,87,59080
2,2,24,87,59080
3,2,24,98,65527
1,2,25,46,30917
2,2,25,46,30917
3,2,25,51,34291
1,2,26,50,34134
2,2,26,50,34134
3,2,26,57,37858
1,2,27,103,70210
2,2,27,103,70210
3,2,27,116,77871
1,2,28,31,21154
2,2,28,31,21154
3,2,28,35,23462
1,2,29,92,62600
2,2,29,92,62600
3,2,29,104,69431
1,2,30,3,2090
2,2,30,3,2090
3,2,30,3,2318
1,2,31,27,18149
2,2,31,27,18149
3,2,31,30,20129
1,2,32,66,44797
2,2,32,66,44797
3,2,32,74,49685
1,2,33,61,41258
2,2,33,61,41258
3,2,33,68,45760
1,2,34,128,86733
2,2,34,128,86733
3,2,34,144,96197
1,2,35,166,112883
2,2,35,166,112883
3,2,35,187,125200
1,2,36,125,84744
2,2,36,125,84744
3,2,36,140,93991
1,2,37,184,124945
2,2,37,184,124945
3,2,37,207,138579
1,2,38,178,121023
2,2,38,178,121023
3,2,38,201,134229
1,2,39,126,85698
2,2,39,126,85698
3,2,39,142,95049
1,3,1,19,12930
2,3,1,19,12930
3,3,1,21,14341
1,3,2,55,37544
2,3,2,55,37544
3,3,2,62,41641
1,3,3,0,0
2,3,3,0,0
3,3,3,0,0
1,3,4,118,80302
2,3,4,118,80302
3,3,4,133,89064
1,3,5,51,34514
2,3,5,51,34514
3,3,5,57,38280
1,3,6,7,4969
2,3,6,7,4969
3,3,6,8,5511
1,3,7,5,3506
2,3,7,5,3506
3,3,7,6,3888
1,3,8,22,14957
2,3,8,22,14957
3,3,8,25,16589
1,3,9,67,45476
2,3,9,67,45476
3,3,9,75,50439
1,3,10,101,68275
2,3,10,101,68275
3,3,10,113,75725
1,3,11,94,63953
2,3,11,94,63953
3,3,11,106,70931
1,3,12,48,32266
2,3,12,48,32266
3,3,12,53,35787
1,3,13,43,29038
2,3,13,43,29038
3,3,13,48,32207
1,3,14,8,5238
2,3,14,8,5238
3,3,14,9,5810
1,3,15,20,13653
2,3,15,20,13653
3,3,15,23,15143
1,3,16,5,3482
2,3,16,5,3482
3,3,16,6,3862
1,3,17,47,31878
2,3,17,47,31878
3,3,17,53,35356
1,3,18,73,49630
2,3,18,73,49630
3,3,18,82,55045
1,3,19,34,22923
2,3,19,34,22923
3,3,19,38,25424
1,3,20,80,54147
2,3,20,80,54147
3,3,20,90,60056
1,3,21,82,55414
2,3,21,82,55414
3,3,21,92,61461
1,3,22,35,23980
2,3,22,35,23980
3,3,22,40,26596
1,3,23,34,22793
2,3,23,34,22793
3,3,23,38,25280
1,3,24,35,23980
2,3,24,35,23980
3,3,24,40,26596
1,3,25,83,56012
2,3,25,83,56012
3,3,25,93,62124
1,3,26,12,8073
2,3,26,12,8073
3,3,26,13,8953
1,3,27,52,35109
2,3,27,52,35109
3,3,27,58,38940
1,3,28,29,19531
2,3,28,29,19531
3,3,28,32,21662
1,3,29,129,87695
2,3,29,129,87695
3,3,29,145,97264
1,3,30,54,36880
2,3,30,54,36880
3,3,30,61,40904
1,3,31,64,43244
2,3,31,64,43244
3,3,31,72,47962
1,3,32,14,9697
2,3,32,14,9697
3,3,32,16,10755
