#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 1 (=SHORTSEA)
# Vessel types: 1,2,3,4
# Vessel count: 1,2,2,1
# Number of cargoes: 22
# Cargo sizes: 2
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 5 (out of 5)
#----------------------------------------------------------------

# number of ports
39
# number of vessels
6
# for each vessel: vessel index, home port, starting time, capacity
1,8,0,13200
2,13,111,16500
3,31,199,16500
4,14,25,24000
5,12,0,24000
6,12,79,33200
# number of cargoes
22
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,2,3,4,8,9,11,12,13,16,17,18,21
2,1,2,3,4,5,8,9,11,13,16,17,18,19,21,22
3,1,3,4,5,8,9,11,13,16,17,19,21,22
4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
6,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,11,27,15965,929218,1132,1204,1132,1677
2,27,3,12057,369141,190,262,190,614
3,33,37,6242,631931,1254,1326,1254,1780
4,10,38,11380,604268,298,370,298,837
5,4,38,13684,393773,753,825,753,1252
6,33,36,20237,548913,439,511,439,933
7,23,20,18912,511297,832,904,832,1333
8,34,18,8937,784739,1072,1144,1072,1663
9,16,36,2394,676118,822,894,822,1352
10,2,39,21124,634457,414,486,414,962
11,17,35,8414,869544,1011,1083,1011,1675
12,14,20,4846,503569,0,72,0,450
13,6,17,10782,536840,594,666,594,1014
14,11,27,18664,705166,489,561,489,1034
15,3,27,19802,631611,91,163,91,554
16,29,36,10164,602289,670,742,670,1313
17,31,36,10088,439306,668,740,668,1133
18,19,4,7734,690567,194,266,194,798
19,33,37,13210,422513,189,261,189,724
20,9,11,18519,811659,147,219,147,729
21,29,9,12053,599149,220,292,220,777
22,33,35,14754,591787,315,387,315,791
# travel times and costs: vessel, origin port, destination port, travel time (in hours), travel cost (in €)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
1,1,2,71,48031
2,1,2,66,38871
3,1,2,66,38871
4,1,2,80,53272
5,1,2,80,53272
6,1,2,72,64637
1,1,3,19,12930
2,1,3,18,10464
3,1,3,18,10464
4,1,3,21,14341
5,1,3,21,14341
6,1,3,19,17401
1,1,4,134,90788
2,1,4,125,73474
3,1,4,125,73474
4,1,4,150,100694
5,1,4,150,100694
6,1,4,137,122177
1,1,5,66,45000
2,1,5,62,36418
3,1,5,62,36418
4,1,5,75,49910
5,1,5,75,49910
6,1,5,68,60558
1,1,6,23,15911
2,1,6,22,12877
3,1,6,22,12877
4,1,6,26,17647
5,1,6,26,17647
6,1,6,24,21412
1,1,7,21,14445
2,1,7,20,11690
3,1,7,20,11690
4,1,7,24,16021
5,1,7,24,16021
6,1,7,22,19439
1,1,8,8,5106
2,1,8,7,4132
3,1,8,7,4132
4,1,8,8,5663
5,1,8,8,5663
6,1,8,8,6871
1,1,9,52,35625
2,1,9,49,28831
3,1,9,49,28831
4,1,9,59,39512
5,1,9,59,39512
6,1,9,54,47942
1,1,10,116,78762
2,1,10,108,63741
3,1,10,108,63741
4,1,10,131,87356
5,1,10,131,87356
6,1,10,119,105993
1,1,11,110,74439
2,1,11,102,60243
3,1,11,102,60243
4,1,11,123,82562
5,1,11,123,82562
6,1,11,112,100176
1,1,12,63,42752
2,1,12,59,34599
3,1,12,59,34599
4,1,12,71,47417
5,1,12,71,47417
6,1,12,64,57534
1,1,13,58,39524
2,1,13,54,31987
3,1,13,54,31987
4,1,13,66,43837
5,1,13,66,43837
6,1,13,60,53190
1,1,14,24,16035
2,1,14,22,12977
3,1,14,22,12977
4,1,14,27,17784
5,1,14,27,17784
6,1,14,24,21578
1,1,15,28,18784
2,1,15,26,15202
3,1,15,26,15202
4,1,15,31,20834
5,1,15,31,20834
6,1,15,28,25279
1,1,16,21,14424
2,1,16,20,11673
3,1,16,20,11673
4,1,16,24,15998
5,1,16,24,15998
6,1,16,22,19411
1,1,17,32,22026
2,1,17,30,17826
3,1,17,30,17826
4,1,17,37,24430
5,1,17,37,24430
6,1,17,33,29642
1,1,18,67,45672
2,1,18,63,36963
3,1,18,63,36963
4,1,18,76,50656
5,1,18,76,50656
6,1,18,69,61463
1,1,19,28,18710
2,1,19,26,15142
3,1,19,26,15142
4,1,19,31,20752
5,1,19,31,20752
6,1,19,28,25179
1,1,20,95,64634
2,1,20,89,52308
3,1,20,89,52308
4,1,20,107,71686
5,1,20,107,71686
6,1,20,97,86980
1,1,21,97,65901
2,1,21,90,53333
3,1,21,90,53333
4,1,21,109,73091
5,1,21,109,73091
6,1,21,99,88685
1,1,22,21,14128
2,1,22,19,11434
3,1,22,19,11434
4,1,22,23,15670
5,1,22,23,15670
6,1,22,21,19013
1,1,23,19,12941
2,1,23,18,10473
3,1,23,18,10473
4,1,23,21,14353
5,1,23,21,14353
6,1,23,19,17415
1,1,24,21,14128
2,1,24,19,11434
3,1,24,19,11434
4,1,24,23,15670
5,1,24,23,15670
6,1,24,21,19013
1,1,25,98,66498
2,1,25,91,53817
3,1,25,91,53817
4,1,25,110,73754
5,1,25,110,73754
6,1,25,100,89490
1,1,26,27,18076
2,1,26,25,14629
3,1,26,25,14629
4,1,26,30,20048
5,1,26,30,20048
6,1,26,27,24325
1,1,27,37,25258
2,1,27,35,20441
3,1,27,35,20441
4,1,27,42,28014
5,1,27,42,28014
6,1,27,38,33991
1,1,28,44,30017
2,1,28,41,24293
3,1,28,41,24293
4,1,28,50,33292
5,1,28,50,33292
6,1,28,45,40395
1,1,29,145,98181
2,1,29,135,79458
3,1,29,135,79458
4,1,29,163,108894
5,1,29,163,108894
6,1,29,148,132127
1,1,30,70,47366
2,1,30,65,38333
3,1,30,65,38333
4,1,30,79,52534
5,1,30,79,52534
6,1,30,71,63742
1,1,31,79,53730
2,1,31,74,43483
3,1,31,74,43483
4,1,31,89,59593
5,1,31,89,59593
6,1,31,81,72307
1,1,32,8,5119
2,1,32,7,4142
3,1,32,7,4142
4,1,32,8,5677
5,1,32,8,5677
6,1,32,8,6888
1,1,33,113,76839
2,1,33,105,62186
3,1,33,105,62186
4,1,33,127,85223
5,1,33,127,85223
6,1,33,116,103406
1,1,34,180,122314
2,1,34,168,98988
3,1,34,168,98988
4,1,34,203,135660
5,1,34,203,135660
6,1,34,184,164603
1,1,35,219,148464
2,1,35,204,120151
3,1,35,204,120151
4,1,35,246,164664
5,1,35,246,164664
6,1,35,224,199794
1,1,36,177,120325
2,1,36,165,97379
3,1,36,165,97379
4,1,36,199,133455
5,1,36,199,133455
6,1,36,181,161927
1,1,37,237,160526
2,1,37,220,129913
3,1,37,220,129913
4,1,37,266,178042
5,1,37,266,178042
6,1,37,242,216027
1,1,38,231,156604
2,1,38,215,126739
3,1,38,215,126739
4,1,38,260,173692
5,1,38,260,173692
6,1,38,236,210749
1,1,39,179,121279
2,1,39,166,98151
3,1,39,166,98151
4,1,39,201,134513
5,1,39,201,134513
6,1,39,183,163211
1,2,1,71,48031
2,2,1,66,38871
3,2,1,66,38871
4,2,1,80,53272
5,2,1,80,53272
6,2,1,72,64637
1,2,2,0,0
2,2,2,0,0
3,2,2,0,0
4,2,2,0,0
5,2,2,0,0
6,2,2,0,0
1,2,3,55,37544
2,2,3,51,30385
3,2,3,51,30385
4,2,3,62,41641
5,2,3,62,41641
6,2,3,57,50525
1,2,4,81,55207
2,2,4,76,44679
3,2,4,76,44679
4,2,4,92,61231
5,2,4,92,61231
6,2,4,83,74294
1,2,5,51,34473
2,2,5,47,27899
3,2,5,47,27899
4,2,5,57,38234
5,2,5,57,38234
6,2,5,52,46391
1,2,6,54,36752
2,2,6,50,29744
3,2,6,50,29744
4,2,6,61,40763
5,2,6,61,40763
6,2,6,55,49459
1,2,7,51,34311
2,2,7,47,27768
3,2,7,47,27768
4,2,7,57,38054
5,2,7,57,38054
6,2,7,52,46173
1,2,8,74,50058
2,2,8,69,40512
3,2,8,69,40512
4,2,8,83,55520
5,2,8,83,55520
6,2,8,75,67365
1,2,9,119,80577
2,2,9,111,65211
3,2,9,111,65211
4,2,9,134,89369
5,2,9,134,89369
6,2,9,121,108436
